,Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
121,Jakeem Grant Sr.CHI,0.3,4.4,0.0,0.0,0.3,0.0,0.0,0.5
122,Miles BoykinBAL,0.3,4.0,0.0,0.0,0.0,0.0,0.0,0.5
123,Mike StrachanIND,0.3,3.8,0.0,0.0,0.1,0.0,0.0,0.4
124,Christian BlakeATL,0.3,3.3,0.0,0.0,0.0,0.0,0.0,0.4
125,Tyrie ClevelandDEN,0.3,3.1,0.0,0.0,0.1,0.0,0.0,0.4
126,Alex EricksonCAR,0.2,2.4,0.0,0.3,0.8,0.0,0.0,0.4
127,Dan ChisenaMIN,0.2,3.4,0.0,0.0,0.1,0.0,0.0,0.4
128,Malik TaylorGB,0.2,2.8,0.0,0.0,0.1,0.0,0.0,0.4
129,Andre RobertsLAC,0.1,2.8,0.0,0.0,0.3,0.0,0.0,0.3
130,Matthew SlaterNE,0.1,2.6,0.0,0.0,0.1,0.0,0.0,0.3
131,Marcus KempKC,0.2,2.4,0.0,0.0,0.1,0.0,0.0,0.3
132,Stanley Morgan Jr.CIN,0.1,2.3,0.0,0.0,0.1,0.0,0.0,0.3
133,Tylan WallaceBAL,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.1
