player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Sean McKeon,TE,1.0,12.0,16.0,0.0,8.0,8.0,8.0,7.0,58.3,12,2021,1.0,1.0,10.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,DAL,LV,True
Ian Thomas,TE,1.0,40.0,73.0,0.0,8.0,0.0,8.0,0.0,0.0,12,2021,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,MIA,False
Giovanni Ricci,TE,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,MIA,False
Tommy Tremble,TE,1.0,25.0,45.0,0.0,12.0,4.0,12.0,0.4,1.6,12,2021,1.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,MIA,False
Tyler Conklin,TE,1.0,44.0,80.0,0.0,7.0,5.0,7.0,2.5,5.7,12,2021,2.0,3.0,25.0,12.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,SF,False
T.J. Hockenson,TE,1.0,37.0,76.0,0.0,8.0,8.0,8.0,9.5,25.7,12,2021,3.0,3.0,35.0,11.7,17.0,0.0,1.0,0.0,0.0,0.0,0.0,DET,CHI,True
Dawson Knox,TE,1.0,60.0,91.0,0.0,5.0,5.0,5.0,15.2,25.3,12,2021,3.0,3.0,32.0,10.7,24.0,0.0,2.0,0.0,0.0,0.0,0.0,BUF,NO,False
Zach Gentry,TE,1.0,22.0,35.0,0.0,9.0,5.0,9.0,1.0,4.5,12,2021,1.0,2.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,CIN,False
Pat Freiermuth,TE,1.0,47.0,76.0,0.0,9.0,9.0,9.0,10.0,21.3,12,2021,4.0,4.0,40.0,10.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,PIT,CIN,False
Jared Cook,TE,1.0,35.0,55.0,0.0,11.0,9.0,11.0,2.9,8.3,13,2021,3.0,4.0,29.0,9.7,23.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,CIN,False
Stephen Anderson,TE,1.0,22.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,CIN,False
Donald Parham Jr.,TE,1.0,16.0,25.0,0.0,25.0,13.0,25.0,0.3,1.9,13,2021,2.0,4.0,3.0,1.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,CIN,False
