player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year
Matt Ryan,QB,ATL,1.0,53.0,53.0,100.0,4.0,0.0,53.0,53.0,7.6,14.3,13,2018
Matthew Stafford,QB,DET,1.0,72.0,72.0,100.0,1.0,0.0,47.0,47.0,10.0,13.9,13,2018
Michael Crabtree,WR,BAL,1.0,36.0,36.0,44.0,0.0,11.0,8.0,11.0,3.6,10.0,13,2018
Philip Rivers,QB,LAC,1.0,62.0,62.0,100.0,0.0,0.0,58.0,58.0,24.0,38.7,13,2018
Tom Brady,QB,NE,1.0,74.0,74.0,100.0,3.0,0.0,46.0,46.0,14.9,20.1,13,2018
Vernon Davis,TE,WAS,1.0,23.0,23.0,50.0,0.0,9.0,9.0,9.0,1.5,6.5,13,2018
Golden Tate,WR,PHI,1.0,36.0,36.0,48.0,0.0,19.0,19.0,19.0,16.5,45.8,13,2018
Andre Roberts,WR,NYJ,1.0,10.0,10.0,15.0,10.0,10.0,20.0,20.0,2.8,28.0,13,2018
Colt McCoy,QB,WAS,1.0,13.0,13.0,28.0,0.0,0.0,31.0,31.0,2.0,15.4,13,2018
Emmanuel Sanders,WR,DEN,1.0,40.0,40.0,67.0,0.0,15.0,10.0,15.0,1.9,4.8,13,2018
Jimmy Graham,TE,GB,1.0,54.0,54.0,71.0,0.0,20.0,15.0,20.0,5.0,9.3,13,2018
Rob Gronkowski,TE,NE,1.0,73.0,73.0,99.0,0.0,5.0,4.0,5.0,2.6,3.6,13,2018
Antonio Brown,WR,PIT,1.0,67.0,67.0,97.0,0.0,19.0,15.0,19.0,21.4,31.9,13,2018
Logan Paulsen,TE,ATL,1.0,19.0,19.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2018
A.J. Green,WR,CIN,1.0,17.0,17.0,25.0,0.0,6.0,6.0,6.0,0.7,4.1,13,2018
Blaine Gabbert,QB,TEN,1.0,1.0,1.0,1.0,100.0,0.0,100.0,100.0,-0.1,-10.0,13,2018
Julio Jones,WR,ATL,1.0,41.0,41.0,77.0,0.0,20.0,5.0,20.0,1.8,4.4,13,2018
Cam Newton,QB,CAR,1.0,69.0,69.0,99.0,9.0,0.0,68.0,68.0,15.3,22.2,13,2018
Mark Ingram II,RB,NO,1.0,21.0,21.0,40.0,33.0,14.0,43.0,48.0,2.8,13.3,13,2018
Randall Cobb,WR,GB,1.0,61.0,61.0,80.0,0.0,8.0,5.0,8.0,2.5,4.1,13,2018
