player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
David Njoku,2.1,26.8,0.2,0.0,3.6,CLE,3,TE
Anthony Firkser,2.0,24.0,0.2,0.0,3.6,TEN,3,TE
Dan Arnold,2.0,25.3,0.2,0.0,3.6,JAC,3,TE
Hayden Hurst,2.6,25.9,0.2,0.0,3.5,ATL,3,TE
Tyler Conklin,2.6,27.1,0.1,0.0,3.5,MIN,3,TE
C.J. Uzomah,2.6,26.2,0.1,0.0,3.3,CIN,3,TE
Pat Freiermuth,2.3,25.4,0.1,0.0,3.3,PIT,3,TE
Adam Trautman,2.2,25.3,0.1,0.0,3.3,NO,3,TE
Maxx Williams,2.0,23.3,0.1,0.0,3.2,ARI,3,TE
Pharaoh Brown,2.2,24.7,0.1,0.0,3.2,HOU,3,TE
Juwan Johnson,1.9,22.8,0.1,0.0,3.1,NO,3,TE
Albert Okwuegbunam,2.2,22.9,0.2,0.1,3.1,DEN,3,TE
James O'Shaughnessy,3.0,30.0,0.0,0.0,3.0,JAC,3,TE
Zach Ertz,2.0,22.1,0.1,0.0,2.9,ARI,3,TE
Will Dissly,1.7,17.9,0.2,0.0,2.7,SEA,3,TE
Tyler Kroft,2.0,19.8,0.1,0.0,2.7,NYJ,3,TE
Luke Farrell,1.7,18.5,0.1,0.0,2.6,JAC,3,TE
Harrison Bryant,1.6,18.1,0.1,0.0,2.6,CLE,3,TE
Jordan Akins,1.8,18.7,0.1,0.0,2.4,HOU,3,TE
Mo Alie-Cox,1.5,17.8,0.1,0.0,2.3,IND,3,TE
Kyle Rudolph,1.6,15.2,0.1,0.0,2.3,NYG,3,TE
Chris Manhertz,1.5,17.1,0.1,0.0,2.2,JAC,3,TE
Geoff Swaim,1.5,14.0,0.1,0.0,2.0,TEN,3,TE
MyCole Pruitt,1.3,14.7,0.1,0.0,2.0,TEN,3,TE
Tommy Hudson,1.2,12.5,0.1,0.0,2.0,TEN,3,TE
O.J. Howard,1.1,15.2,0.1,0.0,2.0,TB,3,TE
Tommy Tremble,1.0,10.9,0.1,0.0,1.7,CAR,3,TE
Donald Parham Jr.,1.1,12.9,0.1,0.0,1.6,LAC,3,TE
Ryan Griffin,1.2,12.9,0.0,0.0,1.6,NYJ,3,TE
Jimmy Graham,1.0,12.6,0.1,0.0,1.6,CHI,3,TE
Ian Thomas,1.1,10.8,0.1,0.0,1.5,CAR,3,TE
Giovanni Ricci,0.8,8.3,0.1,0.0,1.4,CAR,3,TE
Cameron Brate,0.8,8.7,0.1,0.0,1.3,TB,3,TE
Foster Moreau,0.7,7.6,0.1,0.0,1.2,LV,3,TE
Drew Sample,1.2,10.4,0.0,0.0,1.2,CIN,3,TE
Derek Carrier,0.7,7.2,0.1,0.0,1.2,LV,3,TE
Marcedes Lewis,0.8,8.7,0.0,0.0,1.1,GB,3,TE
Hunter Long,1.1,10.4,0.0,0.1,1.1,MIA,3,TE
Josh Oliver,0.8,8.2,0.0,0.0,1.1,BAL,3,TE
Noah Gray,0.8,7.8,0.1,0.0,1.1,KC,3,TE
Eric Saubert,0.8,7.0,0.1,0.0,1.0,DEN,3,TE
Dominique Dafney,0.7,7.2,0.1,0.0,1.0,GB,3,TE
Ricky Seals-Jones,0.7,8.6,0.0,0.1,1.0,WAS,3,TE
Chris Herndon IV,0.7,7.6,0.0,0.0,1.0,MIN,3,TE
Stephen Anderson,0.8,7.7,0.0,0.0,1.0,LAC,3,TE
Durham Smythe,0.8,7.3,0.0,0.0,0.9,MIA,3,TE
Ben Ellefson,0.6,5.6,0.1,0.0,0.9,MIN,3,TE
Reggie Gilliam,0.4,3.6,0.1,0.0,0.8,BUF,3,TE
Blake Bell,0.5,5.2,0.0,0.0,0.8,KC,3,TE
Tommy Sweeney,0.5,6.1,0.0,0.0,0.8,BUF,3,TE
Jacob Harris,0.5,4.7,0.1,0.0,0.8,LAR,3,TE
Jacob Hollister,0.6,6.1,0.0,0.0,0.7,JAC,3,TE
Colin Thompson,0.4,4.2,0.1,0.0,0.7,CAR,3,TE
Josiah Deguara,0.6,6.3,0.0,0.0,0.7,GB,3,TE
