player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Godwin Igwebuike,0.6,2.4,0.0,0.2,2.0,0.0,0.0,0.5,DET,RB,1,2021
Peyton Barber,0.7,3.0,0.0,0.2,1.2,0.0,0.0,0.5,LV,RB,1,2021
Ameer Abdullah,0.1,2.8,0.0,0.2,1.4,0.0,0.0,0.5,CAR,RB,1,2021
Derek Watt,0.3,1.4,0.0,0.1,1.0,0.0,0.0,0.5,PIT,RB,1,2021
Ryquell Armstead,0.5,2.4,0.0,0.2,1.3,0.0,0.0,0.5,JAC,RB,1,2021
Andy Janovich,0.2,0.3,0.0,0.3,2.6,0.0,0.0,0.5,CLE,RB,1,2021
Jakob Johnson,0.0,0.1,0.0,0.3,2.5,0.0,0.0,0.5,NE,RB,1,2021
Khari Blasingame,0.4,1.2,0.0,0.3,2.4,0.0,0.0,0.5,TEN,RB,1,2021
Corey Clement,0.5,2.3,0.0,0.2,1.1,0.0,0.0,0.4,DAL,RB,1,2021
Gabe Nabers,0.2,0.5,0.0,0.2,1.4,0.0,0.0,0.4,LAC,RB,1,2021
Michael Burton,0.2,0.8,0.0,0.2,1.9,0.0,0.0,0.4,KC,RB,1,2021
Khalil Herbert,0.1,1.7,0.0,0.2,1.1,0.0,0.0,0.4,CHI,RB,1,2021
Kene Nwangwu,0.2,1.0,0.0,0.2,2.5,0.0,0.0,0.4,MIN,RB,1,2021
Taiwan Jones,0.2,0.9,0.0,0.2,1.7,0.0,0.0,0.3,BUF,RB,1,2021
Jason Cabinda,0.1,0.0,0.0,0.2,1.7,0.0,0.0,0.2,DET,RB,1,2021
Gerrid Doaks,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,MIA,RB,1,2021
Nick Bellore,0.1,0.2,0.0,0.1,1.2,0.0,0.0,0.2,SEA,RB,1,2021
Elijhaa Penny,0.0,0.1,0.0,0.2,1.1,0.0,0.0,0.2,NYG,RB,1,2021
Cullen Gillaspia,0.1,0.3,0.0,0.1,0.8,0.0,0.0,0.1,NYG,RB,1,2021
Reggie Gilliam,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,BUF,RB,1,2021
Scottie Phillips,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.1,HOU,RB,1,2021
Devine Ozigbo,0.1,0.4,0.0,0.1,0.4,0.0,0.0,0.1,NE,RB,1,2021
Trey Edmunds,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,PIT,RB,1,2021
Adrian Killins Jr.,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,DEN,RB,1,2021
Austin Walter,0.1,0.2,0.0,0.1,0.4,0.0,0.0,0.1,NYJ,RB,1,2021
Dontrell Hilliard,0.1,0.2,0.0,0.1,0.3,0.0,0.0,0.1,TEN,RB,1,2021
Antonio Williams,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,NYG,RB,1,2021
Joshua Kelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,RB,1,2021
Caleb Huntley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,RB,1,2021
Nate McCrary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,RB,1,2021
Derrick Gore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,RB,1,2021
Alex Armah Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,RB,1,2021
Patrick Taylor Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,RB,1,2021
Duke Johnson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,RB,1,2021
J.J. Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,RB,1,2021
Anthony McFarland Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,RB,1,2021
JaQuan Hardy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,RB,1,2021
Dexter Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CLE,RB,1,2021
Jermar Jefferson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,RB,1,2021
Giovanni Ricci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CAR,RB,1,2021
