player,position,team,fantasy_points,great_game,poor_game,quality_game,games
Michael Gallup,WR,DAL,56.5,3.0,2.0,4.0,9.0
Michael Pittman Jr.,WR,IND,150.6,7.0,4.0,6.0,17.0
Mike Davis,RB,ATL,94.2,1.0,12.0,4.0,17.0
Mike Evans,WR,TB,187.1,11.0,3.0,1.0,15.0
Mike Gesicki,TE,MIA,92.0,5.0,3.0,9.0,17.0
Mike Glennon,QB,NYG,40.9,0.0,5.0,1.0,6.0
Mike Strachan,WR,IND,0.0,0.0,1.0,0.0,1.0
Mike Thomas,WR,CIN,0.0,0.0,2.0,0.0,2.0
Mike White,QB,NYJ,44.2,1.0,2.0,0.0,3.0
Mike Williams,WR,LAC,170.6,8.0,5.0,3.0,16.0
Miles Sanders,RB,PHI,83.7,3.0,6.0,1.0,10.0
Mitchell Wilcox,TE,CIN,1.6,0.0,1.0,0.0,1.0
Mo Alie-Cox,TE,IND,55.6,3.0,8.0,6.0,17.0
Mohamed Sanu Sr.,WR,SF,17.700000000000003,0.0,6.0,1.0,7.0
MyCole Pruitt,TE,TEN,31.1,3.0,6.0,2.0,11.0
Myles Gaskin,RB,MIA,121.0,4.0,7.0,3.0,14.0
N'Keal Harry,WR,NE,15.4,0.0,7.0,1.0,8.0
Najee Harris,RB,PIT,226.7,10.0,4.0,3.0,17.0
Nelson Agholor,WR,NE,66.4,3.0,10.0,2.0,15.0
Nick Boyle,TE,BAL,0.0,0.0,1.0,0.0,1.0
Nick Chubb,RB,CLE,189.3,7.0,4.0,2.0,13.0
Nick Foles,QB,CHI,16.8,0.0,0.0,1.0,1.0
Nick Mullens,QB,CLE,9.9,0.0,1.0,0.0,1.0
Nick Vannett,TE,NO,16.3,1.0,2.0,2.0,5.0
Nick Westbrook-Ikhine,WR,TEN,69.0,3.0,9.0,2.0,14.0
Nico Collins,WR,HOU,47.4,1.0,8.0,4.0,13.0
Noah Brown,WR,DAL,7.1,0.0,4.0,1.0,5.0
Noah Fant,TE,DEN,91.0,5.0,4.0,7.0,16.0
Noah Gray,TE,KC,7.7,0.0,2.0,1.0,3.0
Noah Togiai,TE,PHI,0.0,0.0,1.0,0.0,1.0
Nyheim Hines,RB,IND,47.1,2.0,6.0,1.0,9.0
O.J. Howard,TE,TB,15.3,1.0,5.0,1.0,7.0
Odell Beckham Jr.,WR,LAR,83.3,4.0,6.0,3.0,13.0
Olamide Zaccheaus,WR,ATL,57.5,2.0,9.0,3.0,14.0
P.J. Walker,QB,CAR,6.3,0.0,1.0,0.0,1.0
Parker Hesse,TE,ATL,3.8,0.0,1.0,1.0,2.0
Parris Campbell,WR,IND,11.1,0.0,3.0,1.0,4.0
Pat Freiermuth,TE,PIT,91.7,6.0,3.0,7.0,16.0
Patrick Mahomes II,QB,KC,374.2,12.0,4.0,1.0,17.0
Patrick Ricard,RB,BAL,12.7,0.0,7.0,1.0,8.0
Patrick Taylor Jr.,RB,GB,11.6,0.0,0.0,1.0,1.0
