rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
186,Ted Ginn Jr.,3,6,40,13.3,29,0,0,0,0,0,0,5,4.0,0.8,0.0,FA,2020,WR
187,Riley Ridley,4,4,39,9.8,18,0,0,0,0,0,0,5,3.9,0.8,0.0,FA,2020,WR
188,Juwan Johnson,4,10,39,9.8,19,0,0,0,0,0,0,7,3.9,0.6,1.9,NO,2020,WR
189,Robert Foster,2,6,37,18.5,28,0,0,0,0,0,0,4,3.7,0.9,0.0,DAL,2020,WR
190,Brandon Zylstra,3,4,35,11.7,28,0,0,1,1,0,0,16,3.6,0.2,0.1,CAR,2020,WR
191,Terry Godwin,3,6,32,10.7,21,0,0,1,3,0,0,3,3.5,1.2,0.0,JAC,2020,WR
192,Lawrence Cager,2,6,35,17.5,19,0,0,0,0,0,0,2,3.5,1.8,0.0,NYJ,2020,WR
193,Seth Roberts,4,6,31,7.8,12,0,0,0,0,0,0,7,3.1,0.4,0.0,FA,2020,WR
194,Josh Malone,4,6,16,4.0,13,0,0,1,12,0,0,4,2.8,0.7,0.0,FA,2020,WR
195,Darrius Shepherd,5,8,46,9.2,19,0,0,0,0,0,1,8,2.6,0.3,0.0,FA,2020,WR
196,Antonio Gandy-Golden,1,7,3,3.0,3,0,0,1,22,0,0,6,2.5,0.4,0.0,WAS,2020,WR
197,Daurice Fountain,2,3,23,11.5,12,0,0,0,0,0,0,5,2.3,0.5,0.0,KC,2020,WR
198,Penny Hart,1,1,3,3.0,3,0,0,1,19,0,0,13,2.2,0.2,0.0,SEA,2020,WR
199,Antonio Callaway,2,4,20,10.0,13,0,0,0,0,0,0,5,2.0,0.4,0.0,FA,2020,WR
200,Deontay Burnett,3,4,19,6.3,10,0,0,0,0,0,0,2,1.9,1.0,0.0,FA,2020,WR
201,Donte Moncrief,1,2,15,15.0,15,0,0,1,4,0,0,6,1.9,0.3,0.0,FA,2020,WR
202,Tommylee Lewis,1,3,5,5.0,5,0,0,2,14,0,0,5,1.9,0.4,0.0,MIA,2020,WR
203,John Ross,2,7,17,8.5,15,0,0,0,0,0,0,3,1.7,0.6,0.1,NYG,2020,WR
204,Jaleel Scott,1,1,16,16.0,16,0,0,0,0,0,0,1,1.6,1.6,0.0,FA,2020,WR
205,James Proche II,1,3,14,14.0,14,0,0,0,0,0,0,14,1.4,0.1,0.0,BAL,2020,WR
206,Vyncint Smith,1,3,13,13.0,13,0,0,0,0,0,0,7,1.3,0.2,0.0,TB,2020,WR
207,Keith Kirkwood,1,2,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0,FA,2020,WR
208,Cody Hollister,1,1,12,12.0,12,0,0,0,0,0,0,2,1.2,0.6,0.0,TEN,2020,WR
209,Marcus Kemp,1,1,11,11.0,11,0,0,0,0,0,0,10,1.1,0.1,0.0,KC,2020,WR
210,Bennie Fowler III,2,6,11,5.5,7,0,0,0,0,0,0,5,1.1,0.2,0.0,SF,2020,WR
211,Gehrig Dieter,1,2,10,10.0,10,0,0,0,0,0,0,4,1.0,0.3,0.0,KC,2020,WR
212,Trenton Irwin,1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0,CIN,2020,WR
213,JoJo Natson,0,0,0,0.0,0,0,0,1,3,0,0,3,0.3,0.1,0.0,FA,2020,WR
214,Jauan Jennings,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,SF,2020,WR
215,Mason Kinsey,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,TEN,2020,WR
216,Trishton Jackson,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,MIN,2020,WR
217,Cody White,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,PIT,2020,WR
218,Dezmon Patmon,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,IND,2020,WR
219,Binjimen Victor,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,BAL,2020,WR
220,Chris Finke,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,KC,2020,WR
221,Stephen Sullivan,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,CAR,2020,WR
222,K.J. Osborn,0,0,0,0.0,0,0,0,0,0,0,0,9,0.0,0.0,39.9,MIN,2020,WR
