rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,year,team
20.0,Dallas Goedert,46.0,65.0,524.0,11.4,41.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,70.4,6.4,89.8,TE,2020,team
21.0,Irv Smith Jr.,30.0,43.0,365.0,12.2,36.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,68.5,5.3,7.3,TE,2020,team
22.0,Austin Hooper,46.0,70.0,435.0,9.5,36.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,67.5,5.2,28.8,TE,2020,team
23.0,Dan Arnold,31.0,45.0,438.0,14.1,59.0,0.0,4.0,0.0,0.0,0.0,1.0,16.0,65.8,4.1,6.7,TE,2020,team
24.0,Trey Burton,28.0,47.0,250.0,8.9,20.0,0.0,3.0,2.0,3.0,2.0,0.0,13.0,55.3,4.3,0.0,TE,2020,team
25.0,Darren Fells,21.0,28.0,312.0,14.9,44.0,0.0,4.0,0.0,0.0,0.0,0.0,16.0,55.2,3.5,0.0,TE,2020,team
26.0,Gerald Everett,41.0,62.0,417.0,10.2,40.0,0.0,1.0,1.0,2.0,1.0,1.0,16.0,51.9,3.2,35.7,TE,2020,team
27.0,Mo Alie-Cox,31.0,39.0,394.0,12.7,45.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,49.4,3.3,2.2,TE,2020,team
28.0,Jordan Reed,26.0,46.0,231.0,8.9,26.0,0.0,4.0,0.0,0.0,0.0,0.0,10.0,47.1,4.7,19.0,TE,2020,team
29.0,Tyler Eifert,36.0,60.0,349.0,9.7,28.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,46.9,3.1,0.0,TE,2020,team
30.0,Jordan Akins,37.0,49.0,403.0,10.9,26.0,0.0,1.0,1.0,4.0,0.0,0.0,13.0,46.7,3.6,0.3,TE,2020,team
31.0,Richard Rodgers,24.0,31.0,345.0,14.4,33.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,46.5,3.3,0.0,TE,2020,team
32.0,Anthony Firkser,39.0,53.0,387.0,9.9,45.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,44.7,2.8,3.7,TE,2020,team
33.0,Dawson Knox,24.0,44.0,288.0,12.0,36.0,0.0,3.0,0.0,0.0,0.0,2.0,12.0,42.8,3.6,87.2,TE,2020,team
35.0,Zach Ertz,36.0,72.0,335.0,9.3,42.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,41.5,3.8,85.8,TE,2020,team
36.0,Jack Doyle,23.0,33.0,251.0,10.9,28.0,0.0,3.0,0.0,0.0,0.0,1.0,14.0,41.1,2.9,2.2,TE,2020,team
37.0,Jacob Hollister,25.0,40.0,209.0,8.4,20.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,40.9,2.6,0.0,TE,2020,team
38.0,Cameron Brate,28.0,34.0,282.0,10.1,25.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,40.2,2.5,2.8,TE,2020,team
39.0,Drew Sample,40.0,53.0,349.0,8.7,23.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,38.9,2.4,0.1,TE,2020,team
40.0,Harrison Bryant,24.0,38.0,238.0,9.9,35.0,0.0,3.0,0.0,0.0,0.0,2.0,15.0,37.8,2.5,0.2,TE,2020,team
41.0,Kyle Rudolph,28.0,37.0,334.0,11.9,25.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,37.4,3.1,0.3,TE,2020,team
42.0,Will Dissly,24.0,29.0,251.0,10.5,28.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,37.1,2.3,0.2,TE,2020,team
43.0,Cole Kmet,28.0,44.0,243.0,8.7,38.0,0.0,2.0,1.0,-3.0,0.0,1.0,16.0,34.0,2.1,33.3,TE,2020,team
45.0,David Njoku,19.0,29.0,213.0,11.2,28.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,33.3,2.6,12.9,TE,2020,team
46.0,Adam Shaheen,12.0,22.0,150.0,12.5,43.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,33.0,2.1,0.0,TE,2020,team
47.0,Durham Smythe,26.0,29.0,208.0,8.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,32.8,2.2,0.1,TE,2020,team
48.0,Ross Dwelley,19.0,24.0,245.0,12.9,36.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,30.5,1.9,0.1,TE,2020,team
49.0,Greg Olsen,24.0,37.0,239.0,10.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,29.9,2.7,7.0,TE,2020,team
50.0,Tyler Kroft,12.0,16.0,119.0,9.9,38.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,29.9,3.0,0.2,TE,2020,team
51.0,Marcedes Lewis,10.0,17.0,107.0,10.7,36.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,28.7,1.9,0.2,TE,2020,team
52.0,Pharaoh Brown,14.0,16.0,163.0,11.6,29.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,28.3,2.2,0.1,TE,2020,team
53.0,O.J. Howard,11.0,19.0,146.0,13.3,33.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,26.6,6.7,1.2,TE,2020,team
