player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week,year
T.J. Hockenson,TE,DET,1,47,47,76,0,23,21,23,8.9,18.9,8,2014
Tommy Sweeney,TE,BUF,1,60,60,82,0,7,5,7,3.0,5.0,8,2014
Patrick Laird,RB,MIA,1,10,10,14,0,10,10,10,1.0,10.0,8,2014
Ty Johnson,RB,NYJ,1,24,24,29,17,25,38,42,14.6,60.8,8,2014
Terry McLaurin,WR,WAS,1,61,61,87,2,11,7,13,3.5,5.7,8,2014
Gardner Minshew II,QB,PHI,1,14,14,22,0,0,14,14,0.4,2.9,8,2014
Mecole Hardman,WR,KC,1,40,40,49,0,18,13,18,6.3,15.8,8,2014
Darrell Henderson Jr.,RB,LAR,1,41,41,61,34,5,37,39,21.3,52.0,8,2014
Jakobi Meyers,WR,NE,1,71,71,92,0,13,6,13,5.6,7.9,8,2014
Kyler Murray,QB,ARI,1,59,59,100,10,0,66,66,11.1,18.8,8,2014
Antoine Wesley,WR,ARI,1,31,31,53,0,10,3,10,0.7,2.3,8,2014
Benny Snell Jr.,RB,PIT,1,2,2,3,0,50,50,50,0.7,35.0,8,2014
Diontae Johnson,WR,PIT,1,68,68,92,0,19,9,19,9.8,14.4,8,2014
Travis Homer,RB,SEA,1,17,17,30,24,6,29,29,7.2,42.4,8,2014
Alexander Mattison,RB,MIN,1,8,8,12,25,25,50,50,0.0,0.0,8,2014
Chase Claypool,WR,PIT,1,72,72,97,3,7,8,10,6.1,8.5,8,2014
Tyler Johnson,WR,TB,1,39,39,64,0,15,13,15,6.5,16.7,8,2014
Justin Herbert,QB,LAC,1,60,60,100,3,0,62,62,15.8,26.3,8,2014
Ashton Dulin,WR,IND,1,29,29,36,0,14,0,14,0.0,0.0,8,2014
Jakob Johnson,RB,NE,1,22,22,29,0,9,5,9,0.2,0.9,8,2014
Zach Gentry,TE,PIT,1,45,45,61,0,11,7,11,3.9,8.7,8,2014
Juwann Winfree,WR,GB,1,54,54,74,0,11,7,11,3.0,5.6,8,2014
Tony Pollard,RB,DAL,1,19,19,26,37,5,42,42,2.7,14.2,8,2014
Darius Slayton,WR,NYG,1,52,52,87,0,4,0,4,0.0,0.0,8,2014
David Blough,QB,DET,1,4,4,6,25,0,25,25,0.6,15.0,8,2014
Penny Hart,WR,SEA,1,16,16,28,0,0,0,0,0.0,0.0,8,2014
Jeff Smith,WR,NYJ,1,20,20,24,5,5,10,10,0.9,4.5,8,2014
Tyron Johnson,WR,JAC,1,13,13,17,0,15,8,15,1.0,7.7,8,2014
Donald Parham Jr.,TE,LAC,1,25,25,42,0,0,0,0,0.0,0.0,8,2014
Malik Taylor,WR,GB,1,5,5,7,0,0,0,0,0.0,0.0,8,2014
Olamide Zaccheaus,WR,ATL,1,21,21,40,0,5,5,5,1.2,5.7,8,2014
Deonte Harty,WR,NO,1,24,24,32,4,29,17,33,5.7,23.8,8,2014
Jalen Guyton,WR,LAC,1,35,35,58,0,6,3,6,1.8,5.1,8,2014
