,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
228,Trenton Irwin,WR,CIN,1,33,33,61,0,12,3,12,0.9,2.7
229,Jeff Smith,WR,NYJ,1,34,34,74,0,9,3,9,0.2,0.6
230,Tyron Johnson,WR,LV,1,4,4,5,0,0,0,0,0.0,0.0
231,Khari Blasingame,RB,TEN,1,14,14,21,0,7,7,7,0.5,3.6
232,Olamide Zaccheaus,WR,ATL,1,39,39,78,0,8,8,8,4.7,12.1
233,Deonte Harty,WR,NO,1,21,21,29,5,19,19,24,3.3,15.7
234,Alex Bachman,WR,NYG,1,25,25,42,4,0,4,4,-0.3,-1.2
235,Jalen Guyton,WR,LAC,1,50,50,54,0,18,12,18,5.2,10.4
236,Tom Kennedy,WR,DET,1,16,16,28,0,13,19,19,8.6,53.8
237,Craig Reynolds,RB,DET,1,6,6,10,50,0,50,50,0.2,3.3
238,Gunner Olszewski,WR,NE,1,2,2,3,0,0,0,0,0.0,0.0
239,D'Ernest Johnson,RB,CLE,1,47,47,71,53,2,55,55,19.3,41.1
240,Derrick Gore,RB,KC,1,24,24,31,29,4,29,33,3.0,12.5
241,Tua Tagovailoa,QB,MIA,1,68,68,100,7,0,40,40,12.2,17.9
242,Jerry Jeudy,WR,DEN,1,36,36,67,0,14,6,14,3.0,8.3
243,CeeDee Lamb,WR,DAL,1,49,49,79,0,4,4,4,4.5,9.2
244,D'Andre Swift,RB,DET,1,32,32,55,22,16,34,38,10.6,33.1
245,Jonathan Taylor,RB,IND,1,52,52,91,29,8,35,37,9.5,18.3
246,Jalen Reagor,WR,PHI,1,69,69,93,4,4,7,9,2.9,4.2
247,Laviska Shenault Jr.,WR,JAC,1,41,41,60,0,17,12,17,6.2,15.1
248,DeVonta Smith,WR,PHI,1,14,14,19,0,29,21,29,4.1,29.3
249,Cole Kmet,TE,CHI,1,61,61,74,0,8,7,8,4.8,7.9
