,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
28,Dion Lewis,RB,TEN,1,34,34,47,12,15,26,26,3.3,9.7
29,Lee Smith,TE,BUF,1,19,19,31,0,0,0,0,0.0,0.0
30,Virgil Green,TE,LAC,1,24,24,33,0,0,0,0,0.0,0.0
31,Ryan Tannehill,QB,TEN,1,72,72,100,6,0,60,60,25.0,34.7
32,Kirk Cousins,QB,MIN,1,70,70,100,1,0,56,56,21.3,30.4
33,Russell Wilson,QB,SEA,1,74,74,100,1,0,59,59,39.2,53.0
34,Alshon Jeffery,WR,PHI,1,66,66,79,0,12,6,12,3.6,5.5
35,Mohamed Sanu Sr.,WR,NE,1,67,67,100,0,21,15,21,14.1,21.0
36,Marvin Jones Jr.,WR,DET,1,61,61,88,0,16,13,16,18.6,30.5
37,Rhett Ellison,TE,NYG,1,36,36,51,0,14,6,14,1.7,4.7
38,Alfred Morris,RB,ARI,1,3,3,5,33,0,33,33,0.4,13.3
39,Derek Carrier,TE,OAK,1,10,10,14,10,0,10,10,2.7,27.0
40,Cole Beasley,WR,BUF,1,28,28,45,0,7,7,7,7.3,26.1
41,Travis Kelce,TE,KC,1,57,57,97,0,16,12,16,6.2,10.9
42,DeAndre Hopkins,WR,HOU,1,68,68,100,1,16,13,18,11.4,16.8
43,Kenny Stills,WR,HOU,1,58,58,85,0,7,7,7,5.2,9.0
44,Cordarrelle Patterson,RB,CHI,1,8,8,18,0,13,13,13,0.5,6.3
45,Keenan Allen,WR,LAC,1,62,62,86,0,6,5,6,4.0,6.5
46,Tavon Austin,WR,DAL,1,11,11,16,0,0,0,0,0.0,0.0
47,Le'Veon Bell,RB,NYJ,1,61,61,91,28,15,41,43,12.1,19.8
48,Rex Burkhead,RB,NE,1,25,25,37,16,8,20,24,3.4,13.6
49,Zach Ertz,TE,PHI,1,65,65,77,0,17,14,17,16.3,25.1
50,Levine Toilolo,TE,SF,1,19,19,27,0,0,0,0,0.0,0.0
51,Vance McDonald,TE,PIT,1,50,50,79,0,14,10,14,9.0,18.0
52,Luke Willson,TE,SEA,1,17,17,23,0,12,12,12,2.0,11.8
53,Ryan Griffin,TE,NYJ,1,62,62,93,0,13,10,13,5.0,8.1
54,Demetrius Harris,TE,CLE,1,51,51,68,0,8,6,8,2.5,4.9
55,Jack Doyle,TE,IND,1,54,54,77,0,7,6,7,8.2,15.2
56,Patrick DiMarco,RB,BUF,1,14,14,23,0,0,0,0,0.0,0.0
57,Derek Carr,QB,OAK,1,70,70,100,0,0,44,44,19.6,28.0
58,Logan Thomas,TE,DET,1,19,19,28,0,11,5,11,1.3,6.8
59,Carlos Hyde,RB,HOU,1,38,38,56,50,0,50,50,14.0,36.8
60,Sammy Watkins,WR,KC,1,53,53,90,0,19,13,19,6.3,11.9
61,Mike Evans,WR,TB,1,65,65,84,0,25,18,25,24.0,36.9
62,Davante Adams,WR,GB,1,42,42,84,0,26,17,26,4.1,9.8
63,Allen Robinson II,WR,CHI,1,42,42,95,0,12,2,12,0.6,1.4
64,Odell Beckham Jr.,WR,CLE,1,71,71,95,1,8,8,10,8.2,11.5
65,Jarvis Landry,WR,CLE,1,71,71,95,0,18,8,18,11.1,15.6
66,Paul Richardson Jr.,WR,WAS,1,23,23,46,0,22,17,22,4.2,18.3
67,Eric Ebron,TE,IND,1,24,24,34,0,8,8,8,1.6,6.7
68,Trey Burton,TE,CHI,1,27,27,61,0,4,0,4,0.0,0.0
69,James White,RB,NE,1,28,28,42,32,11,39,43,14.4,51.4
70,Cody Latimer,WR,NYG,1,11,11,15,0,27,18,27,6.8,61.8
71,Jimmy Garoppolo,QB,SF,1,70,70,99,4,0,57,57,28.9,41.3
72,John Brown,WR,BUF,1,54,54,87,0,13,7,13,7.6,14.1
73,Damien Williams,RB,KC,1,43,43,73,28,5,33,33,18.8,43.7
74,Albert Wilson,WR,MIA,1,25,25,36,0,8,4,8,0.3,1.2
75,Taylor Gabriel,WR,CHI,1,30,30,68,0,10,10,10,6.9,23.0
76,Willie Snead IV,WR,BAL,1,41,41,61,0,5,5,5,1.5,3.7
77,Allen Hurns,WR,MIA,1,30,30,43,0,10,7,10,1.6,5.3
78,Bennie Fowler III,WR,NYG,1,41,41,58,0,15,7,15,2.2,5.4
79,Adam Thielen,WR,MIN,1,7,7,10,0,14,0,14,0.0,0.0
80,Cameron Brate,TE,TB,1,11,11,14,0,0,0,0,0.0,0.0
81,Roosevelt Nix,RB,PIT,1,15,15,24,0,7,0,7,0.0,0.0
82,Darren Fells,TE,HOU,1,57,57,84,0,5,2,5,6.1,10.7
83,Diontae Spencer,WR,DEN,1,24,24,50,0,13,4,13,-2.0,-8.3
84,Seth Roberts,WR,BAL,1,29,29,43,0,3,0,3,0.0,0.0
85,Jameis Winston,QB,TB,1,76,76,99,3,0,61,61,20.2,26.6
86,Amari Cooper,WR,DAL,1,59,59,86,0,12,7,12,14.0,23.7
87,DeVante Parker,WR,MIA,1,57,57,83,0,11,7,11,11.7,20.5
88,Melvin Gordon III,RB,LAC,1,45,45,63,44,9,51,53,22.9,50.9
89,Maxx Williams,TE,ARI,1,42,42,75,0,5,2,5,1.2,2.9
90,Ameer Abdullah,RB,MIN,1,8,8,11,13,13,25,25,7.8,97.5
91,Tevin Coleman,RB,SF,1,38,38,54,32,11,37,42,3.6,9.5
92,Duke Johnson Jr.,RB,HOU,1,32,32,47,22,16,38,38,14.1,44.1
93,Clive Walford,TE,MIA,1,10,10,14,0,0,0,0,0.0,0.0
94,Jesse James,TE,DET,1,19,19,28,0,11,5,11,0.3,1.6
95,Tyler Kroft,TE,BUF,1,16,16,26,0,6,0,6,0.0,0.0
96,Nick Boyle,TE,BAL,1,56,56,84,0,9,9,9,8.7,15.5
97,MyCole Pruitt,TE,TEN,1,11,11,15,0,0,0,0,0.0,0.0
98,Blake Bell,TE,KC,1,30,30,51,0,3,3,3,0.2,0.7
99,Nelson Agholor,WR,PHI,1,74,74,88,0,11,4,11,2.1,2.8
100,Tyler Lockett,WR,SEA,1,68,68,92,0,26,19,26,27.2,40.0
101,Breshad Perriman,WR,TB,1,47,47,61,0,17,9,17,10.2,21.7
102,Jamison Crowder,WR,NYJ,1,57,57,85,0,16,14,16,14.3,25.1
103,Ty Montgomery,RB,NYJ,1,2,2,3,0,0,0,0,0.0,0.0
104,Phillip Dorsett II,WR,NE,1,66,66,99,0,6,3,6,1.3,2.0
105,Stefon Diggs,WR,MIN,1,62,62,89,2,8,3,10,1.6,2.6
106,Chris Manhertz,TE,CAR,1,34,34,47,0,0,0,0,0.0,0.0
107,Jake Kumerow,WR,GB,1,13,13,26,0,15,0,15,0.0,0.0
108,DeAndre Carter,WR,HOU,1,29,29,43,0,3,3,3,0.8,2.8
109,Darren Waller,TE,OAK,1,55,55,79,0,4,4,4,5.2,9.5
110,Chris Conley,WR,JAC,1,58,58,88,0,12,3,12,3.2,5.5
111,Michael Burton,RB,WAS,1,5,5,10,0,0,0,0,0.0,0.0
112,Tyrell Williams,WR,OAK,1,57,57,81,0,7,5,7,4.8,8.4
113,Raheem Mostert,RB,SF,1,2,2,3,50,0,50,50,-0.2,-10.0
114,Daniel Brown,TE,NYJ,1,6,6,9,0,0,0,0,0.0,0.0
115,Adam Humphries,WR,TEN,1,46,46,64,0,9,9,9,6.5,14.1
116,Laquon Treadwell,WR,MIN,1,19,19,27,0,26,16,26,5.8,30.5
117,Ezekiel Elliott,RB,DAL,1,57,57,83,40,0,40,40,13.9,24.4
118,Derrick Henry,RB,TEN,1,38,38,53,34,8,42,42,21.9,57.6
119,Carson Wentz,QB,PHI,1,84,84,100,5,0,51,51,15.1,18.0
120,Paul Perkins,RB,DET,1,3,3,4,67,0,67,67,1.6,53.3
121,Devontae Booker,RB,DEN,1,1,1,2,0,100,100,100,1.4,140.0
122,Pharoh Cooper,WR,ARI,1,16,16,29,0,13,13,13,1.5,9.4
123,Hunter Henry,TE,LAC,1,55,55,76,0,18,13,18,8.4,15.3
124,Jordan Howard,RB,PHI,1,42,42,50,45,2,48,48,14.3,34.0
125,Rashard Higgins,WR,CLE,1,15,15,20,0,7,0,7,0.0,0.0
126,Tajae Sharpe,WR,TEN,1,32,32,44,0,13,6,13,3.1,9.7
127,Dak Prescott,QB,DAL,1,69,69,100,4,0,55,55,22.5,32.6
128,Kenyan Drake,RB,ARI,1,47,47,84,32,9,40,40,24.2,51.5
129,Jacoby Brissett,QB,IND,1,15,15,21,13,0,47,47,2.8,18.7
130,Nick Vannett,TE,PIT,1,26,26,41,0,4,0,4,0.0,0.0
131,Chris Moore,WR,BAL,1,2,2,3,0,0,0,0,0.0,0.0
132,Demarcus Robinson,WR,KC,1,24,24,41,0,8,4,8,0.5,2.1
133,Seth DeValve,TE,JAC,1,34,34,52,0,15,12,15,4.1,12.1
134,Wendell Smallwood,RB,WAS,1,18,18,36,11,17,22,28,0.3,1.7
135,Jakeem Grant Sr.,WR,MIA,1,14,14,20,0,36,21,36,3.3,23.6
136,Robby Anderson,WR,NYJ,1,64,64,96,0,6,3,6,3.3,5.2
137,Cody Core,WR,NYG,1,4,4,6,0,0,0,0,0.0,0.0
138,Brandon Allen,QB,DEN,1,48,48,100,10,0,52,52,17.0,35.4
139,Andy Janovich,RB,DEN,1,25,25,52,0,0,0,0,0.0,0.0
140,Derek Watt,RB,LAC,1,7,7,10,0,0,0,0,0.0,0.0
141,Tyreek Hill,WR,KC,1,59,59,100,2,15,12,17,20.5,34.7
