player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Davone Bess,5.0,7.0,45.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Darrius Heyward-Bey,3.0,5.0,43.0,14.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Courtney Roby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Chaz Schilens,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Harry Douglas,3.0,4.0,32.0,10.7,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
David Nelson,2.0,5.0,31.0,15.5,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Anthony Armstrong,1.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Eric Decker,5.0,7.0,54.0,10.8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Damian Williams,5.0,6.0,33.0,6.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brandon LaFell,3.0,5.0,65.0,21.7,24.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Armanti Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Mike Williams,2.0,3.0,12.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Demaryius Thomas,5.0,7.0,110.0,22.0,71.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Victor Cruz,6.0,11.0,58.0,9.7,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Tandon Doss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Leonard Hankerson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Torrey Smith,2.0,3.0,57.0,28.5,52.0,1.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Jon Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kyle Williams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Preston Parker,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Richard Goodman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Donald Jones,5.0,7.0,41.0,8.2,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Marlon Moore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Nate Burleson,6.0,8.0,69.0,11.5,21.0,2.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Robert Meachem,2.0,2.0,49.0,24.5,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Reggie Wayne,9.0,18.0,135.0,15.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Ramses Barden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Pierre Garcon,4.0,4.0,109.0,27.3,88.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Percy Harvin,6.0,8.0,84.0,14.0,20.0,1.0,0.0,5.0,20.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Nate Washington,2.0,8.0,53.0,26.5,29.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Roddy White,6.0,8.0,87.0,14.5,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Mohamed Massaquoi,3.0,8.0,41.0,13.7,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Miles Austin,4.0,4.0,73.0,18.3,34.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Mike Wallace,4.0,6.0,37.0,9.3,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Mike Thomas,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Micheal Spurlock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Michael Jenkins,3.0,5.0,45.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Michael Crabtree,7.0,9.0,76.0,10.9,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
