player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Terry McLaurinWAS,4.9,61.0,0.2,0.0,0.1,0.0,0.0,7.5,LaurinWAS,17,WR
Russell GageATL,5.6,60.3,0.2,0.0,0.1,0.0,0.1,7.1,ATL,17,WR
Allen LazardGB,3.2,42.1,0.4,0.3,1.6,0.0,0.0,7.0,GB,17,WR
Jakobi MeyersNE,5.0,56.9,0.2,0.0,0.4,0.0,0.0,7.0,NE,17,WR
DeVante ParkerMIA,4.4,55.4,0.2,0.0,0.0,0.0,0.0,6.9,MIA,17,WR
Chase ClaypoolPIT,3.4,49.7,0.2,0.9,4.9,0.0,0.0,6.9,PIT,17,WR
Kenny GolladayNYG,4.0,55.8,0.2,0.0,0.0,0.0,0.0,6.7,NYG,17,WR
Kendrick BourneNE,3.5,47.2,0.3,0.3,2.2,0.0,0.0,6.7,NE,17,WR
Courtland SuttonDEN,4.0,54.7,0.2,0.0,0.0,0.0,0.0,6.6,DEN,17,WR
Cole BeasleyBUF,4.6,49.3,0.3,0.0,0.0,0.0,0.0,6.6,BUF,17,WR
Tyler BoydCIN,4.3,51.9,0.2,0.2,0.9,0.0,0.0,6.6,CIN,17,WR
Mike EvansTB,3.5,48.0,0.3,0.0,0.1,0.0,0.0,6.6,TB,17,WR
A.J. GreenARI,3.6,53.3,0.2,0.0,0.1,0.0,0.0,6.5,ARI,17,WR
Van JeffersonLAR,3.3,46.6,0.3,0.2,1.3,0.0,0.0,6.5,LAR,17,WR
Michael GallupDAL,3.5,47.5,0.3,0.0,0.1,0.0,0.0,6.3,DAL,17,WR
Braxton BerriosNYJ,4.6,47.9,0.2,0.3,1.7,0.0,0.0,6.1,NYJ,17,WR
Marvin Jones Jr.JAC,4.1,51.0,0.1,0.0,0.0,0.0,0.0,5.9,JAC,17,WR
Brandon AiyukSF,3.4,42.5,0.2,0.3,1.5,0.0,0.0,5.9,SF,17,WR
Robby AndersonCAR,4.1,47.0,0.2,0.3,1.6,0.0,0.0,5.8,CAR,17,WR
Marquez Valdes-ScantlingGB,2.7,43.8,0.2,0.0,0.1,0.0,0.0,5.8,ScantlingGB,17,WR
Gabriel DavisBUF,2.8,40.9,0.3,0.0,0.0,0.0,0.0,5.8,BUF,17,WR
Marquez CallawayNO,3.2,44.6,0.2,0.0,0.0,0.0,0.0,5.6,NO,17,WR
Donovan Peoples-JonesCLE,2.8,43.6,0.2,0.0,0.0,0.0,0.0,5.5,JonesCLE,17,WR
K.J. OsbornMIN,3.8,44.6,0.2,0.0,0.1,0.0,0.0,5.5,MIN,17,WR
Allen Robinson IICHI,3.5,41.9,0.2,0.0,0.0,0.0,0.0,5.3,ICHI,17,WR
T.Y. HiltonIND,3.0,38.7,0.2,0.0,0.0,0.0,0.0,5.3,IND,17,WR
Deonte HartyNO,2.9,37.5,0.2,0.2,1.8,0.0,0.0,5.2,NO,17,WR
Laviska Shenault Jr.JAC,3.8,38.0,0.1,0.8,5.3,0.0,0.0,5.2,JAC,17,WR
Laquon TreadwellJAC,3.6,42.3,0.1,0.0,0.0,0.0,0.0,4.8,JAC,17,WR
Keelan Cole Sr.NYJ,3.1,39.2,0.1,0.0,0.0,0.0,0.0,4.8,NYJ,17,WR
Byron PringleKC,2.8,36.5,0.2,0.0,0.1,0.0,0.0,4.7,KC,17,WR
Olamide ZaccheausATL,2.8,37.1,0.2,0.0,0.3,0.0,0.0,4.7,ATL,17,WR
Quez WatkinsPHI,2.5,35.7,0.2,0.0,0.2,0.0,0.0,4.6,PHI,17,WR
Rashod BatemanBAL,3.3,38.5,0.1,0.0,0.1,0.0,0.0,4.6,BAL,17,WR
Nico CollinsHOU,3.2,37.7,0.1,0.0,0.1,0.0,0.0,4.6,HOU,17,WR
David Sills VNYG,3.5,35.1,0.2,0.0,0.0,0.0,0.0,4.5,NYG,17,WR
Bryan EdwardsLV,2.5,36.5,0.1,0.0,0.1,0.0,0.0,4.5,LV,17,WR
Zach PascalIND,2.6,31.7,0.2,0.1,0.8,0.0,0.0,4.4,IND,17,WR
Zay JonesLV,2.9,34.2,0.2,0.0,0.0,0.0,0.0,4.3,LV,17,WR
Adam HumphriesWAS,3.3,33.4,0.1,0.0,0.1,0.0,0.0,4.2,WAS,17,WR
Antoine WesleyARI,2.6,32.1,0.1,0.0,0.1,0.0,0.0,4.1,ARI,17,WR
Jalen ReagorPHI,2.3,30.1,0.1,0.2,1.3,0.0,0.0,4.0,PHI,17,WR
Kendall HintonDEN,2.5,30.4,0.1,0.0,0.2,0.0,0.0,3.8,DEN,17,WR
DeSean JacksonLV,1.9,30.9,0.1,0.0,0.2,0.0,0.0,3.7,LV,17,WR
Joshua PalmerLAC,2.4,27.1,0.2,0.0,0.1,0.0,0.0,3.7,LAC,17,WR
Mecole HardmanKC,2.0,26.1,0.1,0.4,2.2,0.0,0.0,3.7,KC,17,WR
Denzel MimsNYJ,2.3,29.3,0.1,0.0,0.0,0.0,0.0,3.5,NYJ,17,WR
Nick Westbrook-IkhineTEN,2.4,27.3,0.1,0.0,0.0,0.0,0.0,3.5,IkhineTEN,17,WR
Rashard HigginsCLE,2.0,27.7,0.1,0.0,0.0,0.0,0.0,3.5,CLE,17,WR
Chris ConleyHOU,2.2,27.3,0.1,0.0,0.0,0.0,0.0,3.4,HOU,17,WR
Isaiah McKenzieBUF,1.8,19.6,0.1,0.8,4.2,0.0,0.0,3.3,KenzieBUF,17,WR
Emmanuel SandersBUF,3.0,33.0,0.0,0.0,0.0,0.0,0.0,3.3,BUF,17,WR
Lil'Jordan HumphreyNO,1.9,25.7,0.1,0.0,0.0,0.0,0.0,3.2,NO,17,WR
DeAndre CarterWAS,2.0,23.3,0.1,0.5,2.5,0.0,0.0,3.2,WAS,17,WR
