player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Kyler Murray,QB,ARI,1,58,58,100,10,0,62,62,13.0,22.4,14
Isaac Nauta,TE,DET,1,6,6,8,0,17,17,17,0.3,5.0,14
Benny Snell Jr.,RB,PIT,1,24,24,41,67,0,67,67,2.1,8.8,14
Irv Smith Jr.,TE,MIN,1,51,51,71,0,8,6,8,2.1,4.1,14
Jace Sternberger,TE,GB,1,6,6,10,0,17,0,17,0.0,0.0,14
Diontae Johnson,WR,PIT,1,41,41,69,2,20,17,22,19.6,47.8,14
Darwin Thompson,RB,KC,1,21,21,27,19,24,38,43,4.3,20.5,14
Alexander Mattison,RB,MIN,1,27,27,38,52,7,59,59,6.4,23.7,14
Stanley Morgan Jr.,WR,CIN,1,22,22,30,0,5,0,5,0.0,0.0,14
Kerrith Whyte Jr.,RB,PIT,1,8,8,14,63,13,75,75,5.0,62.5,14
Dawson Knox,TE,BUF,1,54,54,74,0,7,2,7,3.7,6.9,14
Miles Boykin,WR,BAL,1,18,18,30,0,0,0,0,0.0,0.0,14
Ashton Dulin,WR,IND,1,14,14,22,0,0,0,0,0.0,0.0,14
Chandler Cox,RB,MIA,1,7,7,10,0,0,0,0,0.0,0.0,14
Darius Slayton,WR,NYG,1,42,42,81,0,19,12,19,27.4,65.2,14
Bisi Johnson,WR,MIN,1,51,51,71,0,2,2,2,6.9,13.5,14
Andrew Beck,TE,DEN,1,20,20,34,0,5,5,5,2.9,14.5,14
David Blough,QB,DET,1,71,71,100,0,0,56,56,10.2,14.4,14
Stephen Carlson,TE,CLE,1,39,39,72,0,3,0,3,0.0,0.0,14
Hale Hentges,TE,WAS,1,21,21,33,0,0,0,0,0.0,0.0,14
Khari Blasingame,RB,TEN,1,13,13,21,0,15,15,15,4.7,36.2,14
Olamide Zaccheaus,WR,ATL,1,21,21,30,0,10,5,10,15.3,72.9,14
Deonte Harty,WR,NO,1,7,7,10,14,14,29,29,2.1,30.0,14
Jason Moore Jr.,WR,LAC,1,12,12,20,0,0,0,0,0.0,0.0,14
Jalen Guyton,WR,LAC,1,9,9,15,0,22,0,22,0.0,0.0,14
Steven Sims Jr.,WR,WAS,1,45,45,71,0,16,9,16,4.0,8.9,14
Ventell Bryant,WR,DAL,1,1,1,1,0,0,0,0,0.0,0.0,14
Charles Jones,TE,JAC,1,6,6,9,0,0,0,0,0.0,0.0,14
Devlin Hodges,QB,PIT,1,59,59,100,8,0,41,41,13.5,22.9,14
D'Ernest Johnson,RB,CLE,1,2,2,4,0,0,0,0,0.0,0.0,14
