,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
242,Saquon Barkley,RB,NYG,1,69,69,99,32,6,38,38,39.9,57.8
243,Ronald Jones II,RB,TB,1,37,37,51,38,11,46,49,16.9,45.7
244,Royce Freeman,RB,DEN,1,28,28,39,32,7,39,39,9.7,34.6
245,Nick Chubb,RB,CLE,1,39,39,65,38,3,38,41,4.5,11.5
246,Kerryon Johnson,RB,DET,1,16,16,32,63,6,69,69,4.3,26.9
247,Myles Gaskin,RB,MIA,1,34,34,37,47,9,50,56,11.8,34.7
248,Courtland Sutton,WR,DEN,1,68,68,96,0,15,7,15,4.1,6.0
249,James Washington,WR,PIT,1,51,51,76,0,16,10,16,4.1,8.0
250,Anthony Miller,WR,CHI,1,63,63,100,0,3,2,3,0.2,0.3
251,Marcell Ateman,WR,OAK,1,6,6,10,0,0,0,0,0.0,0.0
252,Michael Gallup,WR,DAL,1,56,56,89,0,20,9,20,9.8,17.5
253,Tre'Quan Smith,WR,NO,1,38,38,54,0,5,3,5,1.3,3.4
254,Deon Cain,WR,PIT,1,12,12,18,0,17,17,17,1.0,8.3
255,DJ Moore,WR,CAR,1,6,6,9,0,33,17,33,0.1,1.7
256,Christian Kirk,WR,ARI,1,65,65,94,3,8,3,11,0.9,1.4
257,Mark Andrews,TE,BAL,1,39,39,53,0,23,15,23,21.3,54.6
258,Dallas Goedert,TE,PHI,1,66,66,90,0,18,14,18,15.1,22.9
259,Jaylen Samuels,RB,PIT,1,42,42,63,7,14,17,21,3.9,9.3
260,Mike Gesicki,TE,MIA,1,58,58,62,0,21,10,21,20.2,34.8
261,Troy Fumagalli,TE,DEN,1,11,11,15,0,0,0,0,0.0,0.0
262,Hayden Hurst,TE,BAL,1,40,40,54,0,8,3,8,0.9,2.3
263,Braxton Berrios,WR,NYJ,1,5,5,8,0,0,0,0,0.0,0.0
264,D.J. Chark Jr.,WR,JAC,1,54,54,87,0,13,4,13,1.8,3.3
265,Nyheim Hines,RB,IND,1,11,11,17,9,9,18,18,12.6,114.5
266,Josh Allen,QB,BUF,1,54,54,98,13,0,61,61,20.6,38.1
267,Bo Scarbrough,RB,DET,1,14,14,28,57,0,57,57,3.4,24.3
268,Allen Lazard,WR,GB,1,58,58,75,0,16,9,16,4.5,7.8
269,Richie James Jr.,WR,SF,1,8,8,14,0,0,0,0,0.0,0.0
270,Sony Michel,RB,NE,1,31,31,42,68,6,71,74,10.1,32.6
271,Dalton Schultz,TE,DAL,1,6,6,10,0,17,0,17,0.0,0.0
272,Ian Thomas,TE,CAR,1,32,32,46,0,9,9,9,1.6,5.0
273,Javon Wims,WR,CHI,1,52,52,83,0,17,6,17,2.6,5.0
274,Jordan Akins,TE,HOU,1,41,41,62,0,5,0,5,0.0,0.0
275,Robert Foster,WR,BUF,1,8,8,15,0,13,0,13,0.0,0.0
276,DaeSean Hamilton,WR,DEN,1,41,41,58,0,15,15,15,12.5,30.5
277,Jordan Wilkins,RB,IND,1,22,22,34,41,0,41,41,14.4,65.5
278,Phillip Lindsay,RB,DEN,1,41,41,58,46,7,51,54,17.8,43.4
279,Durham Smythe,TE,MIA,1,55,55,59,0,4,4,4,1.8,3.3
280,Noah Fant,TE,DEN,1,41,41,58,0,5,5,5,1.0,2.4
281,Marquez Valdes-Scantling,WR,GB,1,11,11,14,0,9,9,9,0.6,5.5
282,Damion Ratley,WR,CLE,1,21,21,35,0,14,0,14,0.0,0.0
283,Tyler Conklin,TE,MIN,1,7,7,13,0,0,0,0,0.0,0.0
284,Justin Watson,WR,TB,1,70,70,96,0,14,7,14,10.3,14.7
285,Russell Gage,WR,ATL,1,38,38,50,5,16,18,21,5.6,14.7
286,Boston Scott,RB,PHI,1,20,20,27,15,30,45,45,1.9,9.5
287,Chris Lacy,WR,DET,1,24,24,48,0,4,0,4,0.0,0.0
288,Darvin Kidsy,WR,WAS,1,1,1,1,0,0,0,0,0.0,0.0
289,Gus Edwards,RB,BAL,1,30,30,41,40,3,43,43,7.3,24.3
290,Vyncint Smith,WR,NYJ,1,50,50,82,0,8,6,8,3.2,6.4
291,Byron Pringle,WR,KC,1,4,4,6,0,0,0,0,0.0,0.0
292,Mike Boone,RB,MIN,1,18,18,33,61,6,67,67,3.3,18.3
293,Christian Blake,WR,ATL,1,43,43,57,0,0,0,0,0.0,0.0
294,Reggie Bonnafon,RB,CAR,1,8,8,11,25,0,25,25,1.2,15.0
295,Ross Dwelley,TE,SF,1,2,2,4,0,50,50,50,2.5,125.0
296,Trent Sherfield,WR,ARI,1,3,3,4,0,0,0,0,0.0,0.0
297,Codey McElroy,TE,TB,1,3,3,4,0,33,33,33,3.0,100.0
298,Cam Sims,WR,WAS,1,6,6,9,0,17,17,17,1.5,25.0
299,Dontrell Hilliard,RB,CLE,1,3,3,5,0,33,33,33,0.4,13.3
300,Jaeden Graham,TE,ATL,1,9,9,12,0,0,0,0,0.0,0.0
301,KhaDarel Hodge,WR,CLE,1,14,14,23,0,14,7,14,0.6,4.3
302,Malik Turner,WR,SEA,1,29,29,51,0,10,3,10,2.3,7.9
303,Dwayne Haskins,QB,WAS,1,35,35,50,0,0,43,43,13.3,38.0
304,A.J. Brown,WR,TEN,1,62,62,100,2,3,3,5,14.3,23.1
305,D.K. Metcalf,WR,SEA,1,56,56,98,0,2,0,2,0.0,0.0
306,N'Keal Harry,WR,NE,1,37,37,51,5,8,11,14,3.9,10.5
307,Drew Lock,QB,DEN,1,71,71,100,6,0,52,52,12.7,17.9
308,Marquise Brown,WR,BAL,1,43,43,58,0,5,2,5,0.6,1.4
309,Kelvin Harmon,WR,WAS,1,60,60,86,0,10,10,12,6.2,10.3
310,Daniel Jones,QB,NYG,1,70,70,100,4,0,64,64,35.3,50.4
311,J.J. Arcega-Whiteside,WR,PHI,1,45,45,62,0,4,4,4,3.9,8.7
312,David Montgomery,RB,CHI,1,35,35,56,37,3,40,40,5.9,16.9
313,Will Grier,QB,CAR,1,70,70,100,6,0,69,69,7.7,11.0
314,Deebo Samuel,WR,SF,1,47,47,82,6,13,15,19,11.9,25.3
315,Justice Hill,RB,BAL,1,13,13,18,23,31,46,54,11.1,85.4
316,Riley Ridley,WR,CHI,1,3,3,5,0,0,0,0,0.0,0.0
317,Devin Singletary,RB,BUF,1,52,52,95,29,2,31,31,4.8,9.2
318,Miles Sanders,RB,PHI,1,59,59,81,34,10,42,44,21.6,36.6
319,Kaden Smith,TE,NYG,1,70,70,100,0,11,9,11,15.5,22.1
320,Patrick Laird,RB,MIA,1,49,49,53,16,2,18,18,1.8,3.7
321,Hunter Renfrow,WR,OAK,1,29,29,46,0,31,24,31,16.7,57.6
322,Alexander Hollins,WR,MIN,1,6,6,11,0,0,0,0,0.0,0.0
323,Ty Johnson,RB,DET,1,13,13,26,23,0,23,23,2.0,15.4
324,Andy Isabella,WR,ARI,1,10,10,14,0,0,0,0,0.0,0.0
325,Terry McLaurin,WR,WAS,1,61,61,87,0,15,11,15,8.6,14.1
326,Travis Fulgham,WR,DET,1,17,17,34,0,12,0,12,0.0,0.0
327,Qadree Ollison,RB,ATL,1,1,1,1,100,0,100,100,6.3,630.0
328,Jesper Horsted,TE,CHI,1,18,18,29,0,6,6,6,2.0,11.1
329,Ryquell Armstead,RB,JAC,1,4,4,6,25,0,25,25,0.2,5.0
