player,position,team,games,snaps,snaps_per_game,snaps_percent,rush_percent,tgt_percent,touch_percent,util_percent,fantasy_points,points_per_100_snaps,week
Nelson Agholor,WR,PHI,1,61,61,86,0,10,5,10,6.1,10.0,13
Justin Hardy,WR,ATL,1,26,26,29,0,12,12,12,2.8,10.8,13
Tyler Lockett,WR,SEA,1,66,66,88,0,5,0,5,0.0,0.0,13
Breshad Perriman,WR,TB,1,43,43,57,0,14,12,14,8.7,20.2,13
Jamison Crowder,WR,NYJ,1,62,62,86,0,15,3,15,0.8,1.3,13
Ty Montgomery,RB,NYJ,1,4,4,6,25,25,50,50,0.8,20.0,13
Phillip Dorsett II,WR,NE,1,62,62,71,0,10,3,10,1.5,2.4,13
Stefon Diggs,WR,MIN,1,51,51,94,2,18,10,20,5.2,10.2,13
Chris Manhertz,TE,CAR,1,18,18,24,0,0,0,0,0.0,0.0,13
Jake Kumerow,WR,GB,1,14,14,22,0,0,0,0,0.0,0.0,13
C.J. Uzomah,TE,CIN,1,47,47,72,0,13,11,13,5.1,10.9,13
DeAndre Carter,WR,HOU,1,7,7,12,0,0,0,0,0.0,0.0,13
Darren Waller,TE,OAK,1,54,54,92,0,17,13,17,10.0,18.5,13
Chris Conley,WR,JAC,1,50,50,74,0,10,8,10,5.7,11.4,13
Michael Burton,RB,WAS,1,7,7,11,0,0,0,0,0.0,0.0,13
Damiere Byrd,WR,ARI,1,23,23,37,0,13,0,13,0.0,0.0,13
Matt LaCosse,TE,NE,1,53,53,61,0,4,2,4,2.4,4.5,13
Tyrell Williams,WR,OAK,1,53,53,90,0,8,2,8,0.9,1.7,13
Raheem Mostert,RB,SF,1,40,40,73,48,5,53,53,21.4,53.5,13
DeAndrew White,WR,CAR,1,3,3,4,0,0,0,0,0.0,0.0,13
Daniel Brown,TE,NYJ,1,10,10,14,0,10,10,10,0.9,9.0,13
Adam Humphries,WR,TEN,1,23,23,39,0,9,4,9,7.3,31.7,13
Ross Travis,TE,IND,1,12,12,17,0,25,17,25,1.1,9.2,13
Laquon Treadwell,WR,MIN,1,16,16,30,0,13,6,13,11.8,73.8,13
Ezekiel Elliott,RB,DAL,1,67,67,88,18,15,28,33,13.7,20.4,13
Jared Goff,QB,LAR,1,72,72,91,0,0,60,60,25.0,34.7,13
Derrick Henry,RB,TEN,1,44,44,75,59,7,66,66,20.6,46.8,13
Carson Wentz,QB,PHI,1,69,69,97,0,0,67,67,25.4,36.8,13
Michael Thomas,WR,NO,1,39,39,78,0,21,15,21,4.8,12.3,13
Tyler Boyd,WR,CIN,1,54,54,83,0,19,9,19,11.9,22.0,13
Pharoh Cooper,WR,ARI,1,37,37,59,0,16,11,16,2.6,7.0,13
Hunter Henry,TE,LAC,1,47,47,76,0,6,4,6,1.0,2.1,13
Sterling Shepard,WR,NYG,1,56,56,85,0,11,5,11,10.0,17.9,13
Rashard Higgins,WR,CLE,1,28,28,42,0,11,0,11,0.0,0.0,13
Dak Prescott,QB,DAL,1,76,76,100,5,0,70,70,23.7,31.2,13
Jonathan Williams,RB,IND,1,16,16,23,50,6,56,56,2.5,15.6,13
Tyler Higbee,TE,LAR,1,72,72,91,0,11,10,11,16.7,23.2,13
Will Fuller V,WR,HOU,1,41,41,72,0,5,2,5,0.8,2.0,13
Kenyan Drake,RB,ARI,1,50,50,79,26,10,30,36,5.1,10.2,13
Jacoby Brissett,QB,IND,1,70,70,100,1,0,59,59,14.7,21.0,13
Nick Vannett,TE,PIT,1,22,22,39,0,5,5,5,0.7,3.2,13
Demarcus Robinson,WR,KC,1,36,36,55,0,0,0,0,0.0,0.0,13
Robby Anderson,WR,NYJ,1,64,64,89,0,16,11,16,10.1,15.8,13
Cody Core,WR,NYG,1,2,2,3,0,0,0,0,0.0,0.0,13
Alex Erickson,WR,CIN,1,41,41,63,0,5,5,5,2.1,5.1,13
Derek Watt,RB,LAC,1,4,4,6,0,0,0,0,0.0,0.0,13
Tyreek Hill,WR,KC,1,52,52,80,2,15,12,17,5.1,9.8,13
Johnny Holton,WR,PIT,1,17,17,30,0,0,0,0,0.0,0.0,13
DeAndre Washington,RB,OAK,1,15,15,25,13,20,33,33,4.9,32.7,13
Marcus Johnson,WR,IND,1,65,65,93,0,9,6,9,5.5,8.5,13
Trevor Davis,WR,OAK,1,1,1,2,100,0,100,100,-2.0,-200.0,13
Geronimo Allison,WR,GB,1,41,41,63,0,7,5,7,2.0,4.9,13
Danny Vitale,RB,GB,1,12,12,18,0,8,0,8,0.0,0.0,13
Mike Thomas,WR,LAR,1,7,7,9,0,0,0,0,0.0,0.0,13
Peyton Barber,RB,TB,1,28,28,37,61,0,61,61,18.4,65.7,13
J.P. Holtz,TE,CHI,1,28,28,43,0,0,0,0,0.0,0.0,13
Chester Rogers,WR,IND,1,1,1,1,0,0,0,0,0.0,0.0,13
Tevin Jones,WR,PIT,1,22,22,39,0,5,5,5,2.8,12.7,13
Kalif Raymond,WR,TEN,1,16,16,27,0,6,6,6,10.0,62.5,13
Jalen Richard,RB,OAK,1,11,11,19,9,18,18,27,0.8,7.3,13
C.J. Ham,RB,MIN,1,11,11,20,0,18,18,18,2.2,20.0,13
J.D. McKissic,RB,DET,1,17,17,23,12,18,29,29,2.4,14.1,13
Elijhaa Penny,RB,NYG,1,6,6,9,33,17,33,50,0.2,3.3,13
Dalvin Cook,RB,MIN,1,24,24,44,38,17,50,54,10.4,43.3,13
Mike Williams,WR,LAC,1,55,55,89,0,13,9,13,11.7,21.3,13
Leonard Fournette,RB,JAC,1,62,62,91,23,18,37,40,9.1,14.7,13
O.J. Howard,TE,TB,1,61,61,81,0,10,8,10,6.1,10.0,13
Mitchell Trubisky,QB,CHI,1,64,64,98,6,0,66,66,24.9,38.9,13
Corey Davis,WR,TEN,1,40,40,68,0,5,3,5,2.3,5.8,13
Christian McCaffrey,RB,CAR,1,72,72,97,19,17,29,36,10.2,14.2,13
Deshaun Watson,QB,HOU,1,55,55,96,7,2,55,55,27.9,50.7,13
Chris Godwin,WR,TB,1,68,68,91,0,9,6,9,5.0,7.4,13
Patrick Mahomes II,QB,KC,1,64,64,98,5,0,50,50,19.5,30.5,13
Joe Mixon,RB,CIN,1,52,52,80,37,8,44,44,13.0,25.0,13
Alvin Kamara,RB,NO,1,40,40,80,28,20,38,48,8.4,21.0,13
Jamaal Williams,RB,GB,1,27,27,42,37,15,52,52,6.7,24.8,13
Kareem Hunt,RB,CLE,1,44,44,67,16,11,27,27,12.5,28.4,13
Zay Jones,WR,OAK,1,41,41,69,0,7,5,7,1.4,3.4,13
Isaiah Ford,WR,MIA,1,19,19,26,0,5,0,5,0.0,0.0,13
Cooper Kupp,WR,LAR,1,57,57,72,0,11,11,11,12.5,21.9,13
Curtis Samuel,WR,CAR,1,68,68,92,0,10,6,10,12.5,18.4,13
Dede Westbrook,WR,JAC,1,54,54,79,0,15,9,15,14.0,25.9,13
Josh Reynolds,WR,LAR,1,29,29,37,0,14,14,14,3.9,13.4,13
Brian Hill,RB,ATL,1,24,24,26,17,13,29,29,3.7,15.4,13
Tarik Cohen,RB,CHI,1,36,36,55,8,11,19,19,3.5,9.7,13
Jonnu Smith,TE,TEN,1,51,51,86,0,4,4,4,0.0,0.0,13
Jeremy Sprinkle,TE,WAS,1,49,49,77,0,8,4,8,3.6,7.3,13
T.J. Logan,RB,TB,1,5,5,7,20,0,20,20,0.2,4.0,13
Austin Ekeler,RB,LAC,1,32,32,52,28,16,41,44,12.7,39.7,13
Kenny Golladay,WR,DET,1,71,71,95,0,7,6,7,21.8,30.7,13
Mack Hollins,WR,PHI,1,6,6,8,0,0,0,0,0.0,0.0,13
Krishawn Hogan,WR,NO,1,10,10,20,0,0,0,0,0.0,0.0,13
George Kittle,TE,SF,1,55,55,100,2,7,5,9,1.4,2.5,13
Robert Tonyan,TE,GB,1,19,19,29,0,5,0,5,0.0,0.0,13
Jacob Hollister,TE,SEA,1,61,61,81,0,13,10,13,4.4,7.2,13
Cody Hollister,WR,TEN,1,2,2,3,0,100,100,100,1.3,65.0,13
Mason Schreck,TE,CIN,1,3,3,5,0,0,0,0,0.0,0.0,13
Tim Patrick,WR,DEN,1,31,31,55,0,6,0,6,0.0,0.0,13
Mo Alie-Cox,TE,IND,1,15,15,21,0,0,0,0,0.0,0.0,13
