player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Matt Prater,1.4,1.6,2.2,6.2,ARI,K,9,2021
Cairo Santos,1.4,1.6,1.6,5.9,CHI,K,9,2021
Matt Ammendola,1.3,1.6,1.6,5.6,NYJ,K,9,2021
Matthew Wright,1.2,1.4,1.5,5.1,JAC,K,9,2021
Greg Zuerlein,2.0,2.0,3.0,9.0,DAL,K,10,2021
Justin Tucker,2.0,2.2,2.8,8.8,BAL,K,10,2021
Lirim Hajrullahu,1.8,2.3,3.0,8.4,CAR,K,10,2021
Tyler Bass,1.7,2.1,3.1,8.3,BUF,K,10,2021
Michael Badgley,1.8,2.2,2.8,8.2,IND,K,10,2021
Daniel Carlson,1.8,2.2,2.6,8.1,LV,K,10,2021
Ryan Succop,1.5,1.9,3.4,8.0,TB,K,10,2021
Dustin Hopkins,1.8,2.1,2.5,8.0,LAC,K,10,2021
Matt Gay,1.7,2.0,2.7,8.0,LAR,K,10,2021
Mason Crosby,1.8,2.1,2.5,7.9,GB,K,10,2021
Harrison Butker,1.7,1.9,2.6,7.6,KC,K,10,2021
Randy Bullock,1.7,2.0,2.5,7.6,TEN,K,10,2021
Younghoe Koo,1.7,1.9,2.5,7.6,ATL,K,10,2021
Brandon McManus,1.8,2.1,2.3,7.5,DEN,K,10,2021
Greg Joseph,1.7,2.0,2.4,7.4,MIN,K,10,2021
Chris Boswell,1.6,1.9,2.5,7.4,PIT,K,10,2021
Nick Folk,1.7,2.0,2.3,7.4,NE,K,10,2021
Matt Prater,1.5,1.9,2.6,7.2,ARI,K,10,2021
Robbie Gould,1.5,1.8,2.4,7.1,SF,K,10,2021
Jason Myers,1.6,1.9,2.2,7.0,SEA,K,10,2021
Chase McLaughlin,1.7,1.9,2.0,6.9,CLE,K,10,2021
Jake Elliott,1.6,1.9,1.8,6.7,PHI,K,10,2021
Jason Sanders,1.5,1.9,2.0,6.6,MIA,K,10,2021
Joey Slye,1.6,1.9,1.8,6.5,WAS,K,10,2021
Brian Johnson,1.5,1.8,1.8,6.5,WAS,K,10,2021
Matthew Wright,1.3,1.6,1.6,5.6,JAC,K,10,2021
Matt Ammendola,1.4,1.6,1.6,5.6,NYJ,K,10,2021
Zane Gonzalez,1.3,1.5,1.5,5.4,CAR,K,10,2021
Harrison Butker,1.9,2.2,2.9,8.5,KC,K,11,2021
Ryan Succop,1.8,2.2,3.0,8.4,TB,K,11,2021
Chase McLaughlin,1.9,2.3,2.5,8.3,CLE,K,11,2021
Randy Bullock,1.8,2.1,2.8,8.3,TEN,K,11,2021
Greg Zuerlein,1.8,2.3,2.7,8.1,DAL,K,11,2021
Tyler Bass,1.7,2.0,3.0,8.0,BUF,K,11,2021
Daniel Carlson,1.9,2.3,2.4,7.9,LV,K,11,2021
Nick Folk,1.7,1.9,2.8,7.9,NE,K,11,2021
Greg Joseph,1.8,2.2,2.4,7.9,MIN,K,11,2021
Robbie Gould,1.7,2.0,2.6,7.9,SF,K,11,2021
Brian Johnson,2.0,2.1,1.9,7.9,WAS,K,11,2021
Zane Gonzalez,1.9,2.2,2.1,7.8,CAR,K,11,2021
Dustin Hopkins,1.8,2.2,2.3,7.7,LAC,K,11,2021
Evan McPherson,1.7,2.1,2.4,7.5,CIN,K,11,2021
Chris Boswell,1.8,2.0,2.0,7.4,PIT,K,11,2021
Mason Crosby,1.5,1.9,2.7,7.3,GB,K,11,2021
Jason Sanders,1.7,2.1,2.2,7.3,MIA,K,11,2021
Justin Tucker,1.6,1.8,2.4,7.2,BAL,K,11,2021
Matt Prater,1.7,2.1,2.0,7.2,ARI,K,11,2021
Cairo Santos,1.7,1.9,2.0,7.1,CHI,K,11,2021
Jason Myers,1.6,2.0,2.1,7.1,SEA,K,11,2021
Graham Gano,1.8,2.1,1.8,7.1,NYG,K,11,2021
Jake Elliott,1.7,2.0,1.9,7.0,PHI,K,11,2021
Younghoe Koo,1.6,1.9,2.0,6.9,ATL,K,11,2021
Austin Seibert,1.6,1.8,1.8,6.7,DET,K,11,2021
Chris Blewitt,1.5,2.2,1.9,6.5,CLE,K,11,2021
Michael Badgley,1.5,1.7,2.0,6.4,IND,K,11,2021
Joey Slye,1.5,1.8,1.7,6.2,WAS,K,11,2021
Matt Ammendola,1.4,1.8,1.9,6.2,NYJ,K,11,2021
Matthew Wright,1.4,1.7,1.7,6.0,JAC,K,11,2021
Ka'imi Fairbairn,1.4,1.7,1.7,6.0,HOU,K,11,2021
Greg Zuerlein,2.0,2.4,2.9,8.9,DAL,K,12,2021
Nick Folk,2.1,2.5,2.4,8.8,NE,K,12,2021
Robbie Gould,1.8,2.2,2.9,8.3,SF,K,12,2021
Ryan Succop,1.7,2.1,2.9,8.0,TB,K,12,2021
Chris Boswell,2.0,2.2,2.0,7.9,PIT,K,12,2021
Michael Badgley,1.8,2.1,2.5,7.8,IND,K,12,2021
Tyler Bass,1.8,2.2,2.3,7.7,BUF,K,12,2021
Greg Joseph,1.8,2.1,2.2,7.6,MIN,K,12,2021
Dustin Hopkins,1.7,2.0,2.4,7.6,LAC,K,12,2021
Justin Tucker,1.7,2.0,2.5,7.6,BAL,K,12,2021
Younghoe Koo,1.8,2.1,2.2,7.6,ATL,K,12,2021
Evan McPherson,1.8,2.1,2.3,7.6,CIN,K,12,2021
Zane Gonzalez,1.8,2.1,2.0,7.5,CAR,K,12,2021
Joey Slye,1.8,2.2,1.9,7.4,WAS,K,12,2021
Brandon McManus,1.8,2.1,2.1,7.4,DEN,K,12,2021
Matt Gay,1.7,1.9,2.3,7.3,LAR,K,12,2021
Jake Elliott,1.7,2.0,2.0,7.2,PHI,K,12,2021
Graham Gano,1.8,2.0,1.9,7.2,NYG,K,12,2021
Daniel Carlson,1.7,2.0,2.0,7.1,LV,K,12,2021
Ka'imi Fairbairn,1.5,1.9,2.5,7.1,HOU,K,12,2021
Cairo Santos,1.7,2.0,1.9,7.0,CHI,K,12,2021
Mason Crosby,1.5,1.8,2.5,7.0,GB,K,12,2021
Jason Myers,1.4,1.7,2.5,6.8,SEA,K,12,2021
Randy Bullock,1.6,1.9,1.9,6.8,TEN,K,12,2021
Chase McLaughlin,1.6,1.8,2.0,6.7,CLE,K,12,2021
Matthew Wright,1.5,1.8,2.2,6.6,JAC,K,12,2021
Jason Sanders,1.4,1.8,2.1,6.4,MIA,K,12,2021
Matt Ammendola,1.3,1.6,2.0,6.0,NYJ,K,12,2021
Riley Patterson,1.4,1.6,1.6,5.7,DET,K,12,2021
Austin Seibert,1.0,1.0,2.0,5.0,DET,K,12,2021
Brian Johnson,1.0,1.2,1.0,4.0,WAS,K,12,2021
Matt Gay,1.9,2.3,2.9,8.6,LAR,K,13,2021
Michael Badgley,1.9,2.4,2.7,8.5,IND,K,13,2021
Daniel Carlson,2.0,2.4,2.3,8.4,LV,K,13,2021
Harrison Butker,1.9,2.2,2.7,8.3,KC,K,13,2021
Greg Joseph,1.9,2.2,2.6,8.3,MIN,K,13,2021
Ryan Succop,1.6,2.0,3.3,8.2,TB,K,13,2021
Robbie Gould,1.9,2.2,2.5,8.1,SF,K,13,2021
Justin Tucker,1.9,2.1,2.4,8.0,BAL,K,13,2021
Greg Zuerlein,1.8,2.2,2.5,7.8,DAL,K,13,2021
Evan McPherson,1.7,2.1,2.5,7.7,CIN,K,13,2021
Jason Sanders,1.7,2.0,2.3,7.6,MIA,K,13,2021
Jake Elliott,1.7,2.0,2.4,7.5,PHI,K,13,2021
Chris Boswell,1.8,2.1,2.0,7.5,PIT,K,13,2021
Dustin Hopkins,1.7,2.0,2.3,7.4,LAC,K,13,2021
Nick Folk,1.8,2.1,1.8,7.1,NE,K,13,2021
Younghoe Koo,1.6,1.8,2.3,7.0,ATL,K,13,2021
Matt Prater,1.5,1.8,2.6,7.0,ARI,K,13,2021
Brandon McManus,1.6,1.9,2.0,6.9,DEN,K,13,2021
Matt Ammendola,1.7,2.0,1.9,6.9,NYJ,K,13,2021
Jason Myers,1.6,1.9,2.0,6.9,SEA,K,13,2021
Brian Johnson,1.6,1.8,2.1,6.8,WAS,K,13,2021
Tyler Bass,1.5,1.8,2.3,6.8,BUF,K,13,2021
Cairo Santos,1.6,1.9,1.6,6.5,CHI,K,13,2021
Graham Gano,1.5,1.7,1.7,6.2,NYG,K,13,2021
Ka'imi Fairbairn,1.4,1.7,1.9,6.0,HOU,K,13,2021
Matthew Wright,1.4,1.6,1.5,5.7,JAC,K,13,2021
Riley Patterson,1.3,1.6,1.7,5.6,DET,K,13,2021
Austin Seibert,1.0,1.0,2.0,5.0,DET,K,13,2021
Harrison Butker,1.9,2.2,2.7,8.4,KC,K,14,2021
Randy Bullock,1.9,2.3,2.6,8.4,TEN,K,14,2021
Ryan Succop,1.8,2.1,2.8,8.2,TB,K,14,2021
Mason Crosby,1.7,2.1,2.9,8.2,GB,K,14,2021
Robbie Gould,1.8,2.2,2.6,8.0,SF,K,14,2021
Greg Joseph,1.9,2.2,2.2,7.9,MIN,K,14,2021
Matt Prater,1.7,2.1,2.7,7.8,ARI,K,14,2021
Dustin Hopkins,1.8,2.1,2.5,7.8,LAC,K,14,2021
Brandon McManus,1.7,2.1,2.6,7.7,DEN,K,14,2021
Greg Zuerlein,1.6,2.0,2.8,7.5,DAL,K,14,2021
Zane Gonzalez,1.7,1.9,2.3,7.3,CAR,K,14,2021
Chris Boswell,1.7,1.9,2.3,7.3,PIT,K,14,2021
Joey Slye,1.6,1.9,2.3,7.2,WAS,K,14,2021
Jason Myers,1.6,1.9,2.4,7.1,SEA,K,14,2021
Matt Gay,1.6,1.9,2.3,7.1,LAR,K,14,2021
Evan McPherson,1.6,1.9,2.2,7.0,CIN,K,14,2021
