rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
364.0,Brandon Marshall,8.0,10.0,104.0,13.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,CHI,WR,1,2013
365.0,Brandon Gibson,7.0,10.0,77.0,11.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIA,WR,1,2013
367.0,Anquan Boldin,13.0,17.0,208.0,16.0,43.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,SF,WR,1,2013
368.0,Andre Johnson,12.0,16.0,146.0,12.2,27.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,HOU,WR,1,2013
369.0,Earl Bennett,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CHI,WR,1,2013
370.0,Dwayne Bowe,4.0,6.0,30.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,WR,1,2013
371.0,Donnie Avery,2.0,5.0,11.0,5.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,WR,1,2013
373.0,Davone Bess,5.0,10.0,47.0,9.4,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,CLE,WR,1,2013
374.0,Darrius Heyward-Bey,3.0,4.0,33.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,IND,WR,1,2013
376.0,Marques Colston,5.0,6.0,68.0,13.6,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,NO,WR,1,2013
378.0,Vincent Brown,2.0,4.0,13.0,6.5,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SD,WR,1,2013
379.0,Victor Cruz,5.0,8.0,118.0,23.6,70.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,NYG,WR,1,2013
381.0,Harry Douglas,4.0,6.0,93.0,23.3,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ATL,WR,1,2013
384.0,Jacoby Ford,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,OAK,WR,1,2013
386.0,Riley Cooper,2.0,6.0,14.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,WR,1,2013
387.0,Marcus Easley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BUF,WR,1,2013
388.0,Eric Decker,2.0,7.0,32.0,16.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,DEN,WR,1,2013
