player,position,team,games,snaps,snaps_per_game,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,year
Derek Carr,QB,OAK,16.0,996.0,62.0,98.0,3.0,0.0,54.0,54.0,252.5,25.4,2019
Logan Thomas,TE,DET,16.0,336.0,21.0,31.0,0.0,8.0,5.0,8.0,23.3,6.9,2019
Carlos Hyde,RB,HOU,16.0,529.0,33.0,49.0,46.0,3.0,48.0,49.0,143.2,27.1,2019
Devonta Freeman,RB,ATL,14.0,658.0,47.0,65.0,28.0,11.0,37.0,39.0,138.6,21.1,2019
Sammy Watkins,WR,KC,14.0,740.0,53.0,79.0,0.0,12.0,7.0,12.0,86.5,11.7,2019
Mike Evans,WR,TB,13.0,791.0,61.0,84.0,0.0,15.0,8.0,15.0,165.7,20.9,2019
Brandin Cooks,WR,LAR,14.0,700.0,50.0,72.0,1.0,10.0,7.0,11.0,75.5,10.8,2019
Davante Adams,WR,GB,12.0,678.0,57.0,84.0,0.0,19.0,12.0,19.0,129.7,19.1,2019
Jordan Matthews,WR,PHI,3.0,137.0,46.0,65.0,0.0,9.0,3.0,9.0,3.3,2.4,2019
Donte Moncrief,WR,CAR,8.0,135.0,17.0,25.0,0.0,11.0,3.0,11.0,1.8,1.3,2019
Allen Robinson II,WR,CHI,16.0,1003.0,63.0,93.0,0.0,15.0,10.0,15.0,156.9,15.6,2019
Odell Beckham Jr.,WR,CLE,16.0,990.0,62.0,95.0,0.0,13.0,8.0,14.0,127.3,12.9,2019
Jarvis Landry,WR,CLE,16.0,973.0,61.0,93.0,0.0,14.0,9.0,14.0,154.4,15.9,2019
Paul Richardson Jr.,WR,WAS,10.0,398.0,40.0,71.0,0.0,11.0,7.0,11.0,36.5,9.2,2019
Eric Ebron,TE,IND,11.0,325.0,30.0,42.0,0.0,16.0,10.0,16.0,55.5,17.1,2019
Trey Burton,TE,CHI,8.0,283.0,35.0,57.0,0.0,8.0,5.0,8.0,8.4,3.0,2019
James White,RB,NE,15.0,490.0,33.0,46.0,14.0,19.0,29.0,33.0,128.2,26.2,2019
Cody Latimer,WR,NYG,15.0,370.0,25.0,37.0,0.0,11.0,6.0,11.0,42.0,11.4,2019
Jimmy Garoppolo,QB,SF,16.0,1052.0,66.0,99.0,4.0,0.0,50.0,50.0,260.2,24.7,2019
John Brown,WR,BUF,15.0,913.0,61.0,90.0,0.0,13.0,8.0,13.0,147.8,16.2,2019
Richard Rodgers,TE,PHI,1.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Ryan Grant,WR,OAK,2.0,88.0,44.0,75.0,0.0,10.0,5.0,10.0,1.4,1.6,2019
Garrett Gilbert,QB,CLE,5.0,8.0,2.0,3.0,38.0,0.0,75.0,75.0,-0.3,-3.8,2019
Damien Williams,RB,KC,11.0,367.0,33.0,52.0,30.0,10.0,38.0,40.0,111.1,30.3,2019
Albert Wilson,WR,MIA,13.0,440.0,34.0,49.0,1.0,14.0,11.0,16.0,46.4,10.5,2019
Taylor Gabriel,WR,CHI,9.0,445.0,49.0,75.0,1.0,11.0,7.0,11.0,61.3,13.8,2019
Willie Snead IV,WR,BAL,16.0,679.0,42.0,61.0,0.0,7.0,5.0,7.0,64.1,9.4,2019
Allen Hurns,WR,MIA,14.0,522.0,37.0,54.0,0.0,9.0,6.0,9.0,51.6,9.9,2019
Bennie Fowler III,WR,NYG,8.0,334.0,42.0,60.0,0.0,11.0,7.0,11.0,23.3,7.0,2019
Dontrelle Inman,WR,IND,7.0,191.0,27.0,43.0,0.0,11.0,6.0,11.0,18.1,9.5,2019
Keith Smith,RB,ATL,16.0,196.0,12.0,17.0,3.0,2.0,3.0,5.0,2.1,1.1,2019
Senorise Perry,RB,BUF,11.0,9.0,1.0,1.0,33.0,11.0,44.0,44.0,0.4,4.4,2019
Adam Thielen,WR,MIN,10.0,436.0,44.0,68.0,1.0,11.0,8.0,12.0,84.4,19.4,2019
Cameron Brate,TE,TB,16.0,430.0,27.0,38.0,0.0,13.0,8.0,13.0,55.1,12.8,2019
Roosevelt Nix,RB,PIT,3.0,34.0,11.0,17.0,0.0,9.0,6.0,9.0,0.4,1.2,2019
Josh Hill,TE,NO,16.0,649.0,41.0,61.0,0.0,5.0,4.0,5.0,40.6,6.3,2019
Darren Fells,TE,HOU,16.0,740.0,46.0,69.0,0.0,6.0,5.0,6.0,76.1,10.3,2019
Diontae Spencer,WR,DEN,16.0,70.0,4.0,7.0,4.0,11.0,13.0,16.0,1.7,2.4,2019
Seth Roberts,WR,BAL,16.0,552.0,35.0,50.0,0.0,6.0,4.0,6.0,39.1,7.1,2019
Marcus Mariota,QB,TEN,7.0,354.0,51.0,80.0,7.0,0.0,52.0,52.0,87.1,24.6,2019
Jameis Winston,QB,TB,16.0,1127.0,70.0,99.0,5.0,0.0,61.0,61.0,335.2,29.7,2019
Amari Cooper,WR,DAL,16.0,845.0,53.0,75.0,0.0,14.0,9.0,14.0,167.5,19.8,2019
DeVante Parker,WR,MIA,16.0,905.0,57.0,84.0,0.0,14.0,8.0,14.0,174.2,19.2,2019
Melvin Gordon III,RB,LAC,12.0,427.0,36.0,54.0,38.0,13.0,48.0,51.0,138.8,32.5,2019
Brett Hundley,QB,ARI,3.0,40.0,13.0,22.0,18.0,0.0,45.0,45.0,6.1,15.3,2019
Todd Gurley II,RB,LAR,15.0,786.0,52.0,74.0,28.0,6.0,32.0,35.0,188.4,24.0,2019
Devin Funchess,WR,IND,1.0,36.0,36.0,57.0,0.0,14.0,8.0,14.0,3.2,8.9,2019
Maxx Williams,TE,ARI,16.0,488.0,31.0,46.0,0.0,4.0,3.0,4.0,26.2,5.4,2019
Ameer Abdullah,RB,MIN,16.0,135.0,8.0,13.0,17.0,16.0,28.0,33.0,24.3,18.0,2019
Tevin Coleman,RB,SF,14.0,381.0,27.0,41.0,36.0,8.0,41.0,44.0,114.4,30.0,2019
Sean Mannion,QB,MIN,3.0,54.0,18.0,31.0,11.0,0.0,50.0,50.0,0.5,0.9,2019
Duke Johnson Jr.,RB,HOU,16.0,511.0,32.0,48.0,16.0,12.0,25.0,28.0,110.0,21.5,2019
Jay Ajayi,RB,PHI,3.0,21.0,7.0,9.0,48.0,5.0,48.0,52.0,3.0,14.3,2019
T.J. Yeldon,RB,BUF,6.0,150.0,25.0,36.0,11.0,10.0,20.0,21.0,16.7,11.1,2019
Mike Davis,RB,CAR,12.0,79.0,7.0,10.0,16.0,10.0,25.0,27.0,4.9,6.2,2019
David Johnson,RB,ARI,13.0,437.0,34.0,50.0,22.0,11.0,30.0,32.0,105.5,24.1,2019
Malcolm Brown,RB,LAR,14.0,222.0,16.0,23.0,31.0,3.0,32.0,34.0,57.1,25.7,2019
Clive Walford,TE,MIA,7.0,114.0,16.0,22.0,0.0,7.0,4.0,7.0,6.1,5.4,2019
Nick O'Leary,TE,JAC,12.0,319.0,27.0,41.0,0.0,6.0,4.0,6.0,16.9,5.3,2019
Jesse James,TE,DET,16.0,493.0,31.0,45.0,0.0,5.0,3.0,5.0,14.2,2.9,2019
Tyler Kroft,TE,BUF,11.0,244.0,22.0,34.0,0.0,6.0,2.0,6.0,13.1,5.4,2019
Nick Boyle,TE,BAL,16.0,768.0,48.0,69.0,0.0,6.0,4.0,6.0,44.1,5.7,2019
MyCole Pruitt,TE,TEN,16.0,439.0,27.0,44.0,0.0,2.0,1.0,2.0,15.0,3.4,2019
Blake Bell,TE,KC,15.0,397.0,26.0,40.0,0.0,4.0,2.0,4.0,6.7,1.7,2019
Nelson Agholor,WR,PHI,11.0,690.0,63.0,88.0,0.0,10.0,6.0,10.0,55.0,8.0,2019
Justin Hardy,WR,ATL,16.0,197.0,12.0,17.0,0.0,13.0,10.0,13.0,19.5,9.9,2019
Tyler Lockett,WR,SEA,16.0,994.0,62.0,89.0,0.0,11.0,9.0,11.0,153.2,15.4,2019
Devin Smith,WR,DAL,4.0,136.0,34.0,51.0,0.0,7.0,4.0,7.0,17.3,12.7,2019
Breshad Perriman,WR,TB,14.0,644.0,46.0,64.0,0.0,11.0,6.0,11.0,102.1,15.9,2019
Jamison Crowder,WR,NYJ,16.0,802.0,50.0,78.0,0.0,15.0,10.0,15.0,119.7,14.9,2019
Ty Montgomery,RB,NYJ,16.0,151.0,9.0,15.0,21.0,11.0,30.0,32.0,19.3,12.8,2019
Phillip Dorsett II,WR,NE,14.0,566.0,40.0,57.0,1.0,10.0,6.0,10.0,71.8,12.7,2019
Stefon Diggs,WR,MIN,15.0,772.0,51.0,79.0,1.0,12.0,9.0,13.0,149.1,19.3,2019
Chris Manhertz,TE,CAR,15.0,342.0,23.0,32.0,0.0,0.0,0.0,0.0,1.1,0.3,2019
Jake Kumerow,WR,GB,14.0,328.0,23.0,35.0,0.0,6.0,4.0,6.0,27.9,8.5,2019
C.J. Uzomah,TE,CIN,16.0,644.0,40.0,58.0,0.0,6.0,4.0,6.0,36.2,5.6,2019
DeAndre Carter,WR,HOU,16.0,208.0,13.0,19.0,0.0,7.0,5.0,7.0,14.2,6.8,2019
Darren Waller,TE,OAK,16.0,922.0,58.0,90.0,0.0,13.0,10.0,13.0,131.0,14.2,2019
Trevor Siemian,QB,NYJ,1.0,18.0,18.0,28.0,0.0,0.0,33.0,33.0,0.1,0.6,2019
James O'Shaughnessy,TE,JAC,5.0,207.0,41.0,61.0,0.0,10.0,7.0,10.0,27.3,13.2,2019
Chris Conley,WR,JAC,16.0,864.0,54.0,79.0,0.0,10.0,5.0,10.0,109.5,12.7,2019
Geoff Swaim,TE,JAC,6.0,198.0,33.0,50.0,0.0,9.0,7.0,9.0,6.5,3.3,2019
Michael Burton,RB,WAS,10.0,69.0,7.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,2019
Damiere Byrd,WR,ARI,11.0,455.0,41.0,63.0,0.0,10.0,7.0,10.0,39.9,8.8,2019
J.J. Nelson,WR,OAK,2.0,52.0,26.0,46.0,0.0,10.0,8.0,10.0,9.6,18.5,2019
Matt LaCosse,TE,NE,11.0,433.0,39.0,55.0,0.0,4.0,3.0,4.0,19.1,4.4,2019
Tyrell Williams,WR,OAK,14.0,727.0,52.0,83.0,0.0,9.0,6.0,9.0,101.1,13.9,2019
Raheem Mostert,RB,SF,16.0,360.0,23.0,34.0,38.0,6.0,42.0,44.0,151.2,42.0,2019
Eric Tomlinson,TE,OAK,8.0,120.0,15.0,21.0,0.0,1.0,1.0,1.0,0.1,0.1,2019
DeAndrew White,WR,CAR,10.0,59.0,6.0,8.0,0.0,15.0,7.0,15.0,5.1,8.6,2019
Darius Jennings,WR,TEN,8.0,50.0,6.0,10.0,0.0,10.0,4.0,10.0,1.7,3.4,2019
Daniel Brown,TE,NYJ,16.0,299.0,19.0,29.0,0.0,4.0,2.0,4.0,13.2,4.4,2019
Adam Humphries,WR,TEN,12.0,375.0,31.0,50.0,0.0,13.0,10.0,13.0,49.5,13.2,2019
Ross Travis,TE,IND,3.0,23.0,8.0,12.0,0.0,26.0,17.0,26.0,3.1,13.5,2019
Laquon Treadwell,WR,MIN,13.0,171.0,13.0,20.0,0.0,9.0,5.0,9.0,24.4,14.3,2019
Ezekiel Elliott,RB,DAL,16.0,937.0,59.0,83.0,32.0,8.0,38.0,40.0,257.7,27.5,2019
Jared Goff,QB,LAR,16.0,1095.0,68.0,99.0,3.0,0.0,60.0,60.0,263.5,24.1,2019
Josh Doctson,WR,MIN,1.0,7.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
Derrick Henry,RB,TEN,15.0,589.0,39.0,63.0,51.0,4.0,54.0,56.0,276.6,47.0,2019
Carson Wentz,QB,PHI,16.0,1148.0,72.0,98.0,5.0,0.0,58.0,58.0,282.9,24.6,2019
Michael Thomas,WR,NO,16.0,941.0,59.0,88.0,0.0,20.0,16.0,20.0,225.6,24.0,2019
Tyler Boyd,WR,CIN,16.0,978.0,61.0,89.0,0.0,15.0,10.0,16.0,132.9,13.6,2019
Paul Perkins,RB,DET,4.0,24.0,6.0,9.0,50.0,4.0,54.0,54.0,3.8,15.8,2019
Devontae Booker,RB,DEN,16.0,26.0,2.0,3.0,8.0,35.0,31.0,42.0,6.6,25.4,2019
Pharoh Cooper,WR,ARI,13.0,233.0,18.0,28.0,0.0,14.0,11.0,15.0,30.5,13.1,2019
Hunter Henry,TE,LAC,12.0,614.0,51.0,79.0,0.0,12.0,9.0,12.0,95.2,15.5,2019
Sterling Shepard,WR,NYG,10.0,602.0,60.0,90.0,1.0,14.0,10.0,15.0,84.8,14.1,2019
Austin Hooper,TE,ATL,13.0,724.0,56.0,78.0,0.0,13.0,10.0,13.0,116.7,16.1,2019
Jordan Howard,RB,PHI,10.0,280.0,28.0,39.0,43.0,5.0,46.0,48.0,101.4,36.2,2019
Rashard Higgins,WR,CLE,10.0,172.0,17.0,26.0,0.0,6.0,2.0,6.0,11.5,6.7,2019
Tajae Sharpe,WR,TEN,15.0,431.0,29.0,46.0,0.0,8.0,6.0,8.0,56.9,13.2,2019
Dak Prescott,QB,DAL,16.0,1116.0,70.0,99.0,5.0,0.0,58.0,58.0,348.9,31.3,2019
Jonathan Williams,RB,IND,9.0,99.0,11.0,17.0,49.0,5.0,55.0,55.0,35.4,35.8,2019
C.J. Prosise,RB,SEA,9.0,123.0,14.0,20.0,19.0,10.0,27.0,28.0,18.8,15.3,2019
Jeff Driskel,QB,DET,3.0,218.0,73.0,100.0,10.0,0.0,59.0,59.0,61.2,28.1,2019
Tyler Higbee,TE,LAR,15.0,695.0,46.0,67.0,0.0,13.0,10.0,13.0,91.4,13.2,2019
William Fuller V,WR,HOU,11.0,564.0,51.0,78.0,0.0,13.0,9.0,13.0,85.0,15.1,2019
Kenyan Drake,RB,ARI,14.0,614.0,44.0,69.0,28.0,11.0,36.0,39.0,164.2,26.7,2019
Jacoby Brissett,QB,IND,15.0,947.0,63.0,94.0,6.0,0.0,53.0,53.0,222.7,23.5,2019
Nick Vannett,TE,PIT,16.0,473.0,30.0,46.0,0.0,5.0,4.0,5.0,16.6,3.5,2019
Chris Moore,WR,BAL,14.0,159.0,11.0,16.0,1.0,3.0,3.0,4.0,2.1,1.3,2019
