Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Tyron Johnson,WR,LAC,12,264,22,31,1,10,9,11,59.5,22.5
John Lovett,QB,GB,8,45,6,8,7,0,7,7,0.6,1.3
Donald Parham Jr.,TE,LAC,13,221,17,23,0,9,5,9,33.9,15.3
Nate Becker,TE,BUF,1,30,30,47,0,0,0,0,0.0,0.0
Khari Blasingame,RB,TEN,15,165,11,16,0,3,2,3,3.9,2.4
Malik Taylor,WR,GB,15,166,11,17,1,4,4,4,13.5,8.1
Olamide Zaccheaus,WR,ATL,11,308,28,39,0,10,7,11,33.4,10.8
Deonte Harty,WR,NO,9,169,19,28,4,15,15,18,27.7,16.4
Alex Bachman,WR,NYG,1,1,1,2,0,0,0,0,0.0,0.0
Matt Sokol,TE,LAC,2,15,8,12,0,0,0,0,0.0,0.0
Jeremy Cox,RB,DEN,7,19,3,4,0,0,0,0,0.0,0.0
Jason Moore Jr.,WR,LAC,2,35,18,25,0,0,0,0,0.0,0.0
Jalen Guyton,WR,LAC,16,920,58,78,0,6,3,6,69.1,7.5
Steven Sims Jr.,WR,WAS,12,377,31,46,0,10,7,10,30.3,8.0
Darrius Shepherd,WR,GB,8,138,17,26,0,6,4,6,2.6,1.9
Austin Walter,RB,SF,4,12,3,5,8,8,17,17,3.0,25.0
Tony Brooks-James,RB,ATL,1,6,6,8,50,0,50,50,0.4,6.7
Craig Reynolds,RB,JAC,2,3,2,3,33,33,67,67,0.7,23.3
Gunner Olszewski,WR,NE,12,102,9,14,5,4,9,9,19.4,19.0
Chris Myarick,TE,MIA,3,8,3,4,0,0,0,0,0.0,0.0
D'Ernest Johnson,RB,CLE,16,81,5,8,41,5,44,46,18.0,22.2
Reggie Begelton,WR,GB,1,2,2,3,0,0,0,0,0.0,0.0
Joe Burrow,QB,CIN,10,709,71,97,5,0,62,62,178.6,25.2
Tua Tagovailoa,QB,MIA,10,571,57,86,6,0,57,57,140.4,24.6
Jerry Jeudy,WR,DEN,16,806,50,75,0,14,6,14,105.6,13.1
CeeDee Lamb,WR,DAL,16,721,45,63,1,15,12,17,143.7,19.9
Henry Ruggs III,WR,LV,13,582,45,66,2,7,6,9,58.1,10.0
D'Andre Swift,RB,DET,13,386,30,48,30,15,41,44,143.8,37.3
Tee Higgins,WR,CIN,16,805,50,75,1,13,9,14,127.6,15.9
Jonathan Taylor,RB,IND,15,511,34,50,45,8,52,53,216.8,42.4
Jalen Reagor,WR,PHI,11,511,46,67,1,11,7,11,56.2,11.0
Laviska Shenault Jr.,WR,JAC,14,567,41,64,3,14,13,17,99.1,17.5
Cole Kmet,TE,CHI,15,584,39,58,0,7,5,7,29.5,5.1
Justin Jefferson,WR,MIN,16,886,55,82,0,14,10,14,186.2,21.0
Hunter Bryant,TE,DET,5,25,5,8,0,12,4,12,4.4,17.6
J.K. Dobbins,RB,BAL,15,457,30,47,29,5,33,35,150.5,32.9
Brandon Aiyuk,WR,SF,12,728,61,87,1,13,9,14,124.5,17.1
Zack Moss,RB,BUF,13,402,31,45,28,4,31,32,87.6,21.8
KJ Hamler,WR,DEN,13,521,40,60,2,11,7,12,60.1,11.5
Cam Akers,RB,LAR,12,294,25,35,49,5,53,54,90.8,30.9
