player,team,position,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Dalton Schultz,DAL,TE,17,6.0,2.0,7.0,8.0,8.0,6.0,0.0,7.0,5.0,2.0,8.0,7.0,5.0,3.0,8.0,9.0,10.0,3.0,104.0,6.117647058823529,38.0,58.5
Christian Kirk,ARI,WR,17,5.0,4.0,8.0,1.0,5.0,8.0,5.0,6.0,6.0,8.0,5.0,0.0,3.0,6.0,12.0,9.0,9.0,3.0,103.0,6.0588235294117645,40.0,60.0
D'Andre Swift,DET,RB,13,11.0,5.0,7.0,6.0,6.0,7.0,10.0,5.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,78.0,6.0,68.0,61.5
Leonard Fournette,TB,RB,14,7.0,4.0,3.0,5.0,5.0,6.0,4.0,5.0,0.0,9.0,6.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,84.0,6.0,60.5,61.5
Jamison Crowder,NYJ,WR,12,0.0,0.0,0.0,9.0,6.0,0.0,6.0,9.0,7.0,5.0,7.0,1.0,6.0,6.0,8.0,0.0,0.0,1.0,71.0,5.916666666666667,77.0,63.0
Austin Ekeler,LAC,RB,16,0.0,9.0,6.0,5.0,5.0,7.0,0.0,10.0,3.0,6.0,7.0,8.0,5.0,4.0,4.0,0.0,3.0,12.0,94.0,5.875,46.0,64.5
Tyler Boyd,CIN,WR,16,4.0,9.0,6.0,11.0,5.0,3.0,7.0,8.0,2.0,0.0,8.0,2.0,7.0,5.0,6.0,5.0,6.0,0.0,94.0,5.875,46.0,64.5
Christian McCaffrey,CAR,RB,7,9.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,5.857142857142857,171.0,66.5
Odell Beckham Jr.,LAR,WR,14,0.0,0.0,9.0,7.0,3.0,8.0,6.0,1.0,0.0,3.0,0.0,10.0,5.0,7.0,3.0,8.0,7.0,5.0,82.0,5.857142857142857,65.5,66.5
Courtland Sutton,DEN,WR,17,3.0,12.0,5.0,8.0,11.0,14.0,5.0,4.0,2.0,3.0,0.0,3.0,6.0,2.0,7.0,5.0,5.0,3.0,98.0,5.764705882352941,42.0,68.0
A.J. Green,ARI,WR,16,6.0,6.0,6.0,6.0,2.0,6.0,3.0,8.0,0.0,5.0,7.0,0.0,1.0,10.0,8.0,3.0,6.0,9.0,92.0,5.75,51.0,69.0
Tyler Higbee,LAR,TE,15,6.0,1.0,5.0,6.0,2.0,5.0,8.0,3.0,10.0,5.0,0.0,5.0,6.0,0.0,0.0,6.0,9.0,8.0,85.0,5.666666666666667,57.5,70.5
Rashod Bateman,BAL,WR,12,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,8.0,8.0,6.0,4.0,1.0,8.0,2.0,5.0,10.0,4.0,68.0,5.666666666666667,85.0,70.5
Noah Fant,DEN,TE,16,8.0,6.0,3.0,10.0,4.0,11.0,7.0,4.0,0.0,6.0,0.0,4.0,4.0,4.0,6.0,4.0,7.0,2.0,90.0,5.625,52.0,72.0
JuJu Smith-Schuster,PIT,WR,5,8.0,7.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.6,219.5,73.5
Jerry Jeudy,DEN,WR,10,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,3.0,6.0,6.0,4.0,4.0,0.0,5.0,56.0,5.6,122.0,73.5
Najee Harris,PIT,RB,17,3.0,5.0,19.0,7.0,5.0,7.0,0.0,3.0,3.0,4.0,6.0,5.0,5.0,3.0,5.0,7.0,3.0,4.0,94.0,5.529411764705882,46.0,75.0
Allen Robinson II,CHI,WR,12,11.0,4.0,6.0,3.0,5.0,7.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,4.0,66.0,5.5,87.5,76.0
Cole Kmet,CHI,TE,17,7.0,1.0,4.0,3.0,4.0,5.0,6.0,6.0,8.0,0.0,2.0,11.0,7.0,5.0,9.0,5.0,5.0,5.0,93.0,5.470588235294118,49.5,77.0
Kenny Golladay,NYG,WR,14,6.0,8.0,5.0,7.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,5.0,8.0,8.0,8.0,1.0,5.0,76.0,5.428571428571429,70.5,78.0
