player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Jamaal Williams,DET,13,9.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,19.0,1.4615384615384615,64.0,76.0
Tevin Coleman,NYJ,11,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,16.0,1.4545454545454546,71.5,77.5
Salvon Ahmed,MIA,11,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.4545454545454546,71.5,77.5
Peyton Barber,LV,9,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,13.0,1.4444444444444444,76.0,79.0
Travis Homer,SEA,14,0.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,20.0,1.4285714285714286,61.0,80.0
Rhamondre Stevenson,NE,12,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,1.4166666666666667,67.0,81.0
Ke'Shawn Vaughn,TB,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,8.0,1.3333333333333333,89.5,82.0
Matt Breida,BUF,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.2857142857142858,85.0,83.0
Patrick Ricard,BAL,8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.25,82.0,84.0
D'Onta Foreman,TEN,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,11.0,1.2222222222222223,79.5,85.0
Jonathan Williams,WAS,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,1.2,100.0,86.0
Alec Ingold,LV,7,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.1428571428571428,89.5,87.0
Damien Harris,NE,15,3.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,17.0,1.1333333333333333,67.0,88.0
Godwin Igwebuike,DET,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,9.0,1.125,85.0,89.5
Derrick Gore,KC,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,9.0,1.125,85.0,89.5
C.J. Ham,MIN,15,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,16.0,1.0666666666666667,71.5,91.0
Jermar Jefferson,DET,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,106.0,98.5
