player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
Nico Collins,HOU,14,3.0,1.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,0.0,2.0,5.0,1.0,10.0,4.0,4.0,5.0,7.0,57.0,4.071428571428571,68.5,78.5
Phillip Dorsett II,HOU,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,12.0,4.0,155.5,83.0
Cyril Grayson Jr.,TB,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,12.0,4.0,155.5,83.0
William Fuller V,MIA,2,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,166.5,83.0
Zach Pascal,IND,16,5.0,6.0,7.0,5.0,5.0,1.0,6.0,8.0,7.0,2.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,2.0,64.0,4.0,58.5,83.0
Jason Moore Jr.,LAC,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,191.5,83.0
Antoine Wesley,ARI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,8.0,4.0,5.0,4.0,32.0,4.0,114.0,83.0
Allen Lazard,GB,14,4.0,0.0,1.0,3.0,2.0,5.0,6.0,0.0,1.0,4.0,0.0,6.0,0.0,7.0,4.0,5.0,6.0,6.0,56.0,4.0,71.5,83.0
Kendrick Bourne,NE,17,3.0,3.0,8.0,5.0,3.0,2.0,4.0,7.0,4.0,4.0,4.0,6.0,0.0,0.0,3.0,4.0,6.0,4.0,67.0,3.9411764705882355,53.5,87.0
Darius Slayton,NYG,13,7.0,6.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,7.0,4.0,7.0,3.0,3.0,5.0,0.0,3.0,51.0,3.923076923076923,82.5,88.0
Rashard Higgins,CLE,12,0.0,2.0,2.0,7.0,5.0,3.0,2.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,6.0,5.0,0.0,47.0,3.9166666666666665,89.5,89.0
Jamal Agnew,JAC,10,0.0,0.0,0.0,1.0,7.0,6.0,0.0,12.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,3.9,100.0,90.0
Gabriel Davis,BUF,15,5.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,3.0,4.0,3.0,4.0,8.0,7.0,0.0,3.0,14.0,58.0,3.8666666666666667,64.5,91.0
Nelson Agholor,NE,15,7.0,3.0,8.0,5.0,4.0,4.0,5.0,6.0,0.0,4.0,5.0,3.0,1.0,0.0,6.0,0.0,0.0,3.0,57.0,3.8,68.5,92.0
