rank,player,rushing_att,rushing_yds,rushing_ya,rushing_lg,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
85,Tion Green,42,165,3.9,33,1,2,2,2,14,7.0,0,0,5,29.9,6.0,0.0,FA,2017,RB
86,Elijhaa Penny,31,124,4.0,14,0,2,4,6,38,9.5,0,0,16,28.2,1.8,0.1,NYG,2017,RB
87,Kapri Bibbs,21,79,3.8,16,0,0,14,17,128,9.1,1,0,3,26.7,8.9,0.1,FA,2017,RB
88,Terrance West,39,138,3.5,13,0,2,2,4,23,11.5,0,1,5,26.1,5.2,0.0,FA,2017,RB
89,Danny Woodhead,14,56,4.0,10,0,0,33,39,200,6.1,0,0,8,25.6,3.2,20.6,FA,2017,RB
90,Thomas Rawls,58,157,2.7,23,1,0,9,13,94,10.4,0,1,12,23.1,1.9,0.1,FA,2017,RB
91,Tommy Bohanon,5,5,1.0,3,0,2,6,11,43,7.2,1,0,16,22.8,1.4,0.0,FA,2017,RB
92,Eddie Lacy,69,179,2.6,19,0,0,6,6,47,7.8,0,0,9,22.6,2.5,0.3,FA,2017,RB
93,Travaris Cadet,23,96,4.2,12,0,0,16,19,119,7.4,0,0,9,21.5,2.4,0.0,FA,2017,RB
94,Kenjon Barner,16,57,3.6,18,0,1,5,8,56,11.2,0,0,13,17.3,1.3,0.0,TB,2017,RB
95,Robert Turbin,23,53,2.3,7,0,1,9,11,56,6.2,0,0,6,16.9,2.8,0.0,FA,2017,RB
96,Stevan Ridley,26,108,4.2,21,1,1,0,0,0,0.0,0,0,2,16.8,8.4,0.0,FA,2017,RB
97,Cameron Artis-Payne,18,95,5.3,43,1,1,1,1,2,2.0,0,0,13,15.7,1.2,0.0,FA,2017,RB
98,Chris Johnson,45,114,2.5,11,0,0,5,6,43,8.6,0,0,4,15.7,3.9,0.6,FA,2017,RB
99,D.J. Foster,6,19,3.2,5,0,0,17,28,133,7.8,0,0,7,15.2,2.2,0.0,FA,2017,RB
100,Anthony Sherman,14,40,2.9,9,0,1,6,8,47,7.8,0,0,16,14.7,0.9,0.0,FA,2017,RB
101,James Conner,32,144,4.5,23,1,0,0,1,0,0.0,0,0,14,14.4,1.0,94.6,ARI,2017,RB
102,C.J. Ham,7,13,1.9,3,0,1,7,8,68,9.7,0,0,16,14.1,0.9,0.1,MIN,2017,RB
103,Jamize Olawale,9,43,4.8,11,0,1,6,7,33,5.5,0,0,12,13.6,1.1,0.0,DAL,2017,RB
104,Paul Perkins,41,90,2.2,14,0,0,8,10,46,5.8,0,0,11,13.6,1.2,0.0,FA,2017,RB
105,Jeremy Hill,37,116,3.1,13,0,0,4,4,16,4.0,0,0,7,13.2,1.9,0.0,FA,2017,RB
106,Roosevelt Nix,3,0,0.0,1,0,1,2,3,6,3.0,1,0,16,12.6,0.8,0.0,FA,2017,RB
107,Fozzy Whittaker,7,18,2.6,8,0,0,5,6,47,9.4,1,0,12,12.5,1.0,0.0,FA,2017,RB
108,Terron Ward,30,129,4.3,17,0,0,3,3,14,4.7,0,1,14,12.3,0.9,0.0,FA,2017,RB
109,Darren Sproles,15,61,4.1,12,0,0,7,12,73,10.4,0,1,3,11.4,3.8,0.1,FA,2017,RB
110,Lance Dunbar,11,51,4.6,12,0,1,1,3,1,1.0,0,0,4,11.2,2.8,0.0,FA,2017,RB
111,C.J. Prosise,11,23,2.1,8,0,0,6,11,87,14.5,0,0,5,11.0,2.2,0.0,FA,2017,RB
112,Branden Oliver,35,83,2.4,26,1,0,6,11,26,4.3,0,0,8,10.9,1.4,0.0,FA,2017,RB
113,De'Angelo Henderson Sr.,7,13,1.9,5,0,0,2,2,36,18.0,1,0,5,10.9,2.2,0.0,FA,2017,RB
114,Trey Edmunds,9,48,5.3,41,1,1,0,0,0,0.0,0,0,16,10.8,0.7,0.0,PIT,2017,RB
115,Andy Janovich,6,12,2.0,4,0,1,4,6,35,8.8,0,0,16,10.7,0.7,0.1,CLE,2017,RB
116,Zach Line,7,28,4.0,9,0,0,2,5,8,4.0,1,0,12,9.6,0.8,0.0,FA,2017,RB
117,Zach Zenner,14,26,1.9,14,0,1,0,1,0,0.0,0,0,8,8.6,1.1,0.0,FA,2017,RB
118,Brandon Bolden,13,67,5.2,20,1,0,1,4,7,7.0,0,0,16,7.4,0.5,10.7,NE,2017,RB
119,Brian Hill,11,37,3.4,11,0,0,2,2,36,18.0,0,0,7,7.3,1.0,0.1,SF,2017,RB
120,David Johnson,11,23,2.1,6,0,0,6,9,67,11.2,0,1,1,7.1,7.1,35.4,HOU,2017,RB
121,Byron Marshall,9,32,3.6,11,0,0,6,8,36,6.0,0,0,4,6.8,1.7,0.1,FA,2017,RB
122,Tre Madden,0,0,0.0,0,0,0,2,2,65,32.5,0,0,8,6.5,0.8,0.1,FA,2017,RB
123,Jalston Fowler,2,4,2.0,3,0,1,0,1,0,0.0,0,0,10,6.4,0.6,0.0,FA,2017,RB
124,Derek Watt,6,24,4.0,17,0,0,2,3,35,17.5,0,0,16,5.9,0.4,0.1,PIT,2017,RB
125,Dwayne Washington,20,44,2.2,6,0,0,2,2,14,7.0,0,0,5,5.8,1.2,0.1,NO,2017,RB
126,Akeem Hunt,8,23,2.9,11,0,0,4,7,31,7.8,0,0,15,5.4,0.4,0.0,FA,2017,RB
127,Aaron Ripkowski,5,13,2.6,4,0,0,7,10,39,5.6,0,0,16,5.2,0.3,0.0,FA,2017,RB
128,Tyler Ervin,4,12,3.0,6,0,0,8,11,38,4.8,0,0,4,5.0,1.3,0.0,FA,2017,RB
129,Marcus Murphy,7,41,5.9,25,1,0,2,2,7,3.5,0,0,1,4.8,4.8,0.0,FA,2017,RB
130,Matt Dayes,5,13,2.6,4,0,0,4,5,29,7.3,0,0,16,4.1,0.3,0.0,FA,2017,RB
