Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
160,Brenton Bersin(FA),9,11,119,13.2,30,1,0,0,0,0,1,9,9.9,1.1,0.0%
161,Bradley Marquez(FA),13,22,88,6.8,14,0,0,0,0,0,0,16,8.8,0.6,0.0%
162,Russell Shepard(FA),3,9,28,9.3,18,0,1,0,0,0,0,13,8.8,0.7,0.0%
163,Deonte Thompson(FA),2,3,81,40.5,45,2,0,0,0,0,0,7,8.1,1.2,0.0%
164,Chris Owusu(FA),6,13,80,13.3,43,2,0,0,0,0,0,3,8.0,2.7,0.0%
165,Jeff Janis(FA),2,12,79,39.5,46,2,0,0,0,0,0,16,7.9,0.5,0.0%
166,Tre McBride III(FA),2,4,8,4.0,7,0,1,1,8,0,0,7,7.6,1.1,0.0%
167,Corey Fuller(FA),4,9,76,19.0,48,1,0,0,0,0,1,12,5.6,0.5,0.0%
168,Hakeem Nicks(FA),7,14,54,7.7,19,0,0,0,0,0,0,6,5.4,0.9,0.0%
169,Dwayne Bowe(FA),5,13,53,10.6,16,0,0,0,0,0,0,7,5.3,0.8,0.0%
170,Preston Parker(FA),5,12,40,8.0,15,0,0,0,0,0,0,2,4.3,2.2,0.0%
171,Kevin Smith(FA),3,5,43,14.3,21,1,0,0,0,0,0,7,4.3,0.6,0.0%
172,Greg Salas(FA),3,5,41,13.7,20,1,0,0,0,0,0,2,4.1,2.1,0.0%
173,Paul Richardson Jr.(FA),1,1,40,40.0,40,1,0,0,0,0,0,1,4.0,4.0,0.0%
174,Jeremy Ross(FA),9,14,88,9.8,18,0,0,1,2,0,3,11,3.0,0.3,0.0%
175,Andrew Turzilli(FA),2,2,25,12.5,18,0,0,0,0,0,0,3,2.5,0.8,0.0%
176,Trevor Graham(FA),4,4,24,6.0,18,0,0,0,0,0,0,4,2.4,0.6,0.0%
177,Marquise Goodwin(CHI),2,2,24,12.0,14,0,0,0,0,0,0,2,2.4,1.2,0.3%
178,Vincent Brown(FA),1,2,22,22.0,22,1,0,0,0,0,0,1,2.2,2.2,0.0%
179,Geremy Davis(FA),2,3,21,10.5,16,0,0,0,0,0,0,10,2.1,0.2,0.0%
180,DeAndrew White(FA),2,2,18,9.0,10,0,0,0,0,0,0,4,1.8,0.5,0.0%
181,Mario Alford(FA),1,1,15,15.0,15,0,0,0,0,0,0,1,1.5,1.5,0.0%
182,Eric Weems(FA),1,1,11,11.0,11,0,0,1,4,0,0,16,1.5,0.1,0.0%
183,Chandler Worthy(FA),3,4,14,4.7,12,0,0,0,0,0,0,3,1.4,0.5,0.0%
184,Kasen Williams(FA),1,1,8,8.0,8,0,0,1,5,0,0,2,1.3,0.7,0.0%
185,Sammie Coates(FA),1,2,11,11.0,11,0,0,0,0,0,0,6,1.1,0.2,0.0%
186,Jonathan Krause(FA),2,4,11,5.5,7,0,0,0,0,0,0,2,1.1,0.6,0.0%
187,Ben Edwards(FA),1,2,9,9.0,9,0,0,0,0,0,0,2,0.9,0.5,0.0%
188,Tony Washington(FA),0,0,0,0,0,0,0,1,8,0,0,4,0.8,0.2,0.0%
189,Rod Streater(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.1%
190,Damaris Johnson(FA),0,0,0,0,0,0,0,1,6,0,0,1,0.6,0.6,0.0%
191,Brittan Golden(FA),1,1,5,5.0,5,0,0,0,0,0,0,14,0.5,0.0,0.0%
192,Cordarrelle Patterson(ATL),2,2,10,5.0,9,0,0,2,15,0,1,16,0.5,0.0,95.1%
193,Seyi Ajirotutu(FA),1,3,4,4.0,4,0,0,0,0,0,0,13,0.4,0.0,0.0%
194,Scotty Washington(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
195,Tyrie Cleveland(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
196,Cody White(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
197,Dezmon Patmon(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
198,Ja'Marcus Bradley(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
199,Freddie Swain(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
200,Easop Winston Jr.(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
201,Quez Watkins(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
202,Jaylon Moore(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
203,K.J. Osborn(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9%
204,Aaron Parker(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
205,Chris Finke(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
206,Mason Kinsey(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
207,Lawrence Cager(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
208,Van Jefferson(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1%
209,Austin Mack(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
210,Kristian Wilkerson(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
211,Marquez Callaway(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6%
212,Lynn Bowden Jr.(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
213,Darnell Mooney(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3%
214,Tylan Wallace(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
215,Jauan Jennings(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%
216,Binjimen Victor(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
217,Amon-Ra St. Brown(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8%
218,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
219,Rondale Moore(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4%
220,Trishton Jackson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
221,Tyler Vaughns(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
222,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
223,Rashod Bateman(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.1%
224,Jaylen Waddle(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.6%
225,Ja'Marr Chase(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5%
226,Quartney Davis(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
227,Isaiah Coulter(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
228,Kirk Merritt(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
229,Tarik Black(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
230,Nick Westbrook-Ikhine(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5%
231,Kendall Hinton(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
232,Marquez Stevenson(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
233,J.J. Koski(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
234,Aleva Hifo(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
235,Josh Hammond(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
236,DeMichael Harris(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
237,Matt Cole(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
238,JoJo Ward(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
239,Maurice Ffrench(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
240,Jalen McCleskey(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
241,Josh Pearson(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
242,Travis Jonsen(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
243,Derrick Dillon(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
244,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
245,Manasseh Bailey(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
246,Jeff Cotton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
247,Andre Baccellia(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
248,Amari Rodgers(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
249,Kadarius Toney(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6%
250,Nico Collins(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%
251,Shi Smith(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
252,Tutu Atwell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
253,Anthony Schwartz(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
254,Dazz Newsome(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
255,Seth Williams(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
256,T.J. Vasher(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
257,Ihmir Smith-Marsette(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
258,Elijah Moore(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1%
259,Dyami Brown(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
260,Dez Fitzpatrick(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
261,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
262,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
263,Dan Chisena(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
264,Malik Turner(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
265,KhaDarel Hodge(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
266,Shaq Roland(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
